Source	Target	Weight_Source_Target	Weight_Target_Source	Annotation
issue	delay	30	4	TBD
burn	injury	51	10	TBD
atrial_fibrillation	heart_failure	19	5	TBD
poverty	environmental_destruction	33	5	TBD
condition	mental_illness	7	2	TBD
constipation	bloating	15	2	TBD
epilepsy	disorder	12	4	TBD
chemical_imbalance	depression	214	15	TBD
disease	scar	25	3	TBD
serious_health_problem	death	55	2	TBD
disease	epidemic	26	3	TBD
asbestos	cancer	395	7	TBD
dementia	confusion	16	4	TBD
histamine	headache	33	2	TBD
syndrome	condition	8	2	TBD
confusion	anger	25	2	TBD
hiv	condition	22	6	TBD
event	fear	18	3	TBD
alzheimer_’_s_disease	memory_loss	27	6	TBD
overeating	obesity	78	3	TBD
mental_illness	violence	26	7	TBD
pain	insomnia	43	9	TBD
injury	bruise	12	2	TBD
fever	symptom	37	10	TBD
asbestos_exposure	cancer	237	5	TBD
change	atherosclerosis	9	2	TBD
disease	allele	17	4	TBD
tooth_decay	cavity	13	4	TBD
ignorance	fear	105	10	TBD
cholesterol	atherosclerosis	63	2	TBD
obesity	increased_risk	28	3	TBD
virus	illness	806	8	TBD
high_blood_pressure	kidney_failure	136	7	TBD
debris	accident	14	3	TBD
tick	lyme_disease	23	3	TBD
stone	infection	27	5	TBD
menopause	hormonal_change	210	27	TBD
anxiety	sleeplessness	18	3	TBD
medical_condition	inflammation	10	3	TBD
illness	damage	179	14	TBD
injury	wrongful_death	19	6	TBD
pain	vomiting	20	5	TBD
acne	inflammation	208	38	TBD
depression	cognitive_impairment	15	3	TBD
blood_clot	deep_vein_thrombosis	30	7	TBD
infective_endocarditis	valvular_heart_disease	3	1	TBD
mistake	problem	46	2	TBD
bacteria	fungus	12	3	TBD
red	blood	34	5	TBD
fever	exhaustion	6	2	TBD
anxiety	tension	35	8	TBD
competition	conflict	14	2	TBD
obstruction	symptom	38	5	TBD
colon_cancer	constipation	67	19	TBD
medical_problem	pain	47	5	TBD
stress	illness	514	114	TBD
injustice	violence	48	3	TBD
stock_market_crash	depression	22	5	TBD
asthma	cough	39	3	TBD
condition	irritation	59	12	TBD
steatosis	insulin_resistance	21	7	TBD
infection	lymphedema	23	6	TBD
divorce	change	33	3	TBD
action	chaos	20	2	TBD
high_blood_pressure	depression	16	5	TBD
bronchitis	sore_throat	14	2	TBD
infertility	depression	28	5	TBD
drug_use	neglect	8	2	TBD
evolution	intelligence	17	3	TBD
inflation	recession	27	9	TBD
human_papilloma_virus	cervical_cancer	320	6	TBD
treatment	problem	79	9	TBD
emotion	action	84	6	TBD
ignorance	confusion	42	2	TBD
disruption_in_the_body_'s_energy_system	negative_emotion	95	2	TBD
abuse	anger	9	3	TBD
cmes	flare	14	3	TBD
bacterium	acne	29	2	TBD
stress	headache	388	16	TBD
event	failure	28	2	TBD
inflammation	redness	130	6	TBD
food	problem	137	3	TBD
issue	confusion	10	2	TBD
periodontal_disease	bad_breath	65	10	TBD
down_syndrome	problem	10	2	TBD
depression	physiological_change	6	2	TBD
grief	suicide	8	2	TBD
wound	disease	9	2	TBD
plaque	tooth_decay	48	3	TBD
pancreatic_cancer	diabetes	20	4	TBD
failure	disaster	29	5	TBD
weight_gain	obesity	73	2	TBD
bacteria	diarrhea	308	9	TBD
infection	mortality	180	5	TBD
bacteria	disease	1540	307	TBD
war	depression	15	5	TBD
bacteria	biofilms	7	2	TBD
sleep_apnea	weight_gain	12	4	TBD
loss	expense	13	2	TBD
stress	muscle_tension	117	5	TBD
accident	injury	3039	25	TBD
inflammation	anemia	21	5	TBD
condition	complication	374	13	TBD
renal_disease	hypertension	26	6	TBD
injury	harm	28	3	TBD
stiffness	problem	12	2	TBD
event	death	412	22	TBD
hot_flash	irritability	5	1	TBD
yeast	disease	35	5	TBD
hatred	conflict	16	3	TBD
isolation	depression	176	15	TBD
muscle_imbalance	injury	61	2	TBD
love	marriage	43	5	TBD
decision	action	132	2	TBD
panic	death	20	5	TBD
blockage	inflammation	14	4	TBD
climate_change	increased_temperature	15	3	TBD
high_blood_pressure	health_problem	35	7	TBD
dandruff	itchy_scalp	7	2	TBD
fever	headache	89	12	TBD
protest	violence	48	6	TBD
cholesterol	heart_disease	217	3	TBD
issue	death	20	6	TBD
war	economic_crisis	23	2	TBD
poverty	death	55	3	TBD
prostitution	violence	17	2	TBD
mental_illness	homelessness	66	6	TBD
infection	peptic_ulcer	82	2	TBD
circumstance	damage	17	2	TBD
free_radical	oxidative_stress	157	2	TBD
constipation	diarrhea	9	2	TBD
repentance	forgiveness	21	5	TBD
phenomenon	problem	17	4	TBD
memory	pain	20	5	TBD
stress	hormone_imbalance	8	2	TBD
support	success	13	3	TBD
violence	chaos	9	3	TBD
strabismus	condition	8	2	TBD
organism	diarrhea	28	3	TBD
weakness	back_pain	8	2	TBD
skin_disorder	inflammation	14	2	TBD
disturbance	problem	6	2	TBD
bleeding	stroke	35	2	TBD
respiratory_failure	death	502	6	TBD
disconnection	problem	15	2	TBD
increase_in_demand	increase_in_price	14	4	TBD
brain_injury	epilepsy	23	2	TBD
ccsvi	m	21	3	TBD
pain	discomfort	63	11	TBD
diabetes	complication	797	16	TBD
pregnancy	medical_condition	6	2	TBD
skin_damage	skin_cancer	78	7	TBD
injury	damage	444	50	TBD
infection	complication	282	20	TBD
disease	dementia	137	7	TBD
germ	illness	108	13	TBD
antigen	disease	8	2	TBD
injury	increase	11	2	TBD
chain_reaction	death	11	2	TBD
anger	bitterness	11	2	TBD
opportunity	success	10	3	TBD
migraine	aura	33	3	TBD
infection	pain	358	12	TBD
heart_failure	shock	71	10	TBD
bacteria	bad_breath	354	17	TBD
irritation	mesothelioma	11	3	TBD
error	delay	61	3	TBD
cancer_treatment	side_effect	221	29	TBD
parasite	disease	637	39	TBD
negative_thought	negative_emotion	17	4	TBD
poverty	undernutrition	7	2	TBD
depression	financial_difficulty	9	2	TBD
drug	pancreatitis	20	2	TBD
endometriosis	inflammation	17	2	TBD
hazard	damage	28	7	TBD
oxidative_stress	cardiovascular_disease	19	2	TBD
disease	mortality	163	4	TBD
cartilage	osteoarthritis	27	5	TBD
hormone	cancer	65	10	TBD
lifestyle	disease	74	6	TBD
problem	litigation	12	2	TBD
injury	recovery	8	2	TBD
thunderstorm	flood	9	2	TBD
post-traumatic_stress_disorder	anxiety	12	3	TBD
side_effect	pain	32	5	TBD
insulin_resistance	type_2_diabetes	241	54	TBD
diverticulitis	infection	24	5	TBD
thunderstorm	tornado	92	8	TBD
tooth_decay	problem	16	4	TBD
malaria	fever	87	2	TBD
pneumonia	bacterial_infection	355	82	TBD
cigarette_smoking	lung_cancer	467	9	TBD
autism	gi_problem	17	5	TBD
contaminant	disease	15	5	TBD
pain	immobility	9	3	TBD
conflict	disease	25	5	TBD
hpv	cancer	208	13	TBD
infection	miscarriage	109	10	TBD
disease	liver_cancer	24	6	TBD
aging	deterioration	29	2	TBD
medical_condition	accident	21	2	TBD
unbelief	sin	18	4	TBD
action	reaction	230	9	TBD
stress	various_disease	10	3	TBD
treatment	depression	17	2	TBD
fire	damage	1301	21	TBD
error	trial	12	2	TBD
metabolic_syndrome	hypertension	12	3	TBD
birth_defect	death	56	9	TBD
obesity	health_condition	144	8	TBD
problem	blindness	22	2	TBD
anaemia	problem	7	2	TBD
stress	physical_injury	6	2	TBD
toxin	illness	162	5	TBD
injury	blood_clot	10	2	TBD
injury	disorder	38	11	TBD
high_blood_pressure	heart_disease	448	8	TBD
event	problem	57	3	TBD
series_of_event	death	24	2	TBD
flu	diarrhea	11	3	TBD
infection	prostatitis	11	2	TBD
indigestion	heartburn	13	4	TBD
irritation	pain	83	12	TBD
reaction	pain	52	5	TBD
accident	water	66	2	TBD
symptom	serious_problem	12	4	TBD
anger	headache	14	2	TBD
victory	defeat	15	3	TBD
brain_damage	autism	11	2	TBD
weakened_immune_system	illness	17	2	TBD
disease	complication	388	14	TBD
substance_abuse	symptom	9	2	TBD
infection	ulcer	222	8	TBD
autoimmune_disorder	inflammation	53	2	TBD
schizophrenia	psychosis	15	2	TBD
addiction	behavior	80	24	TBD
money	happiness	35	9	TBD
friction	wear_and_tear	9	3	TBD
flooding	destruction	16	2	TBD
issue	problem	122	35	TBD
separation	divorce	19	3	TBD
flooding	disaster	21	3	TBD
ischemia	change	15	2	TBD
clot	stroke	384	2	TBD
disease	pain	870	45	TBD
anxiety	headache	68	3	TBD
poverty	problem	201	11	TBD
fever	chill	48	3	TBD
withdrawal	depression	23	7	TBD
symptom	disability	30	9	TBD
fear	conflict	107	5	TBD
depression	migraine	14	3	TBD
violence	death	432	10	TBD
disease	high_morbidity	24	2	TBD
motor_vehicle_accident	injury	158	18	TBD
cost	difficulty	6	2	TBD
vascular_disease	stroke	58	2	TBD
complication	liver_failure	17	4	TBD
inflammation	symptom	178	3	TBD
pollution	acid_rain	63	10	TBD
heart_attack	damage	153	16	TBD
trauma	fear	15	2	TBD
macular_degeneration	damage	19	3	TBD
allergic_reaction	condition	26	4	TBD
stroke	damage	241	28	TBD
ulcer	pain	97	4	TBD
disease	chronic_pain	92	4	TBD
higher_cost	inflation	13	4	TBD
credit_crunch	recession	24	3	TBD
eczema	asthma	19	5	TBD
litigation	loss	21	6	TBD
change	chaos	31	5	TBD
hemochromatosis	iron_overload	38	2	TBD
loss	pain	99	7	TBD
death	uncertainty	8	2	TBD
situation	stress	120	22	TBD
incident	confusion	283	2	TBD
climate_change	drought	241	4	TBD
headache	discomfort	55	9	TBD
stress	inflammation	101	4	TBD
fibromyalgia	ailment	6	2	TBD
injury	expense	55	3	TBD
immune_response	inflammation	90	12	TBD
condition	acne	45	2	TBD
event	fire	13	2	TBD
oxidative_stress	arthritis	6	2	TBD
rheumatoid_arthritis	inflammation	315	62	TBD
condition	emotional_problem	14	3	TBD
bleeding	death	102	7	TBD
racism	problem	66	2	TBD
deforestation	pollution	9	3	TBD
condition	pelvic_inflammatory_disease	6	2	TBD
obesity	metabolic_dysfunction	19	2	TBD
action	controversy	20	2	TBD
wound	death	170	5	TBD
uncertainty	disaster	6	2	TBD
inactivity	disease	50	9	TBD
surgery	condition	18	6	TBD
condition	nausea	80	2	TBD
sciatica	inflammation	36	12	TBD
depression	change_in_mood	8	2	TBD
war	disease	16	3	TBD
headache	dizziness	10	3	TBD
problem	preparation	7	2	TBD
condition	pressure	59	7	TBD
sin	evil	36	12	TBD
childbirth	condition	20	2	TBD
financial_problem	delay	11	2	TBD
diabetes	eye_disease	42	4	TBD
osteoarthritis	degenerative_change	22	2	TBD
feeling	action	59	13	TBD
claim	damage	25	7	TBD
hormone_imbalance	condition	17	3	TBD
decay	death	9	2	TBD
love	fear	14	4	TBD
disease	heart	39	2	TBD
hatred	pain	10	3	TBD
failure	success	212	27	TBD
disorder	health_condition	8	2	TBD
action	stress	26	6	TBD
water_retention	high_blood_pressure	26	2	TBD
parasite	malaria	341	3	TBD
bacteria	tooth_decay	240	10	TBD
tendonitis	pain	106	2	TBD
unconsciousness	death	15	4	TBD
low_level	disease	13	2	TBD
anxiety	nausea	74	13	TBD
dehydration	problem	69	11	TBD
oxidative_stress	damage	88	2	TBD
hormonal_change	acne	259	42	TBD
bacteria	halitosis	64	21	TBD
skin_problem	inflammation	7	2	TBD
carbon_dioxide	warming	45	9	TBD
depression	recovery	69	2	TBD
genetic_mutation	disease	125	13	TBD
harm	death	23	6	TBD
impact	death	18	5	TBD
high_blood_pressure	stroke	774	8	TBD
aid	opportunistic_infection	82	10	TBD
hazard	cancer	40	5	TBD
delay	cost	22	2	TBD
arson	fire	264	2	TBD
global_warming	effect	15	4	TBD
illness	complication	68	11	TBD
condition	heart_failure	109	7	TBD
trauma	illness	17	5	TBD
nutritional_deficiency	disease	86	3	TBD
virus	mutation	337	6	TBD
infection	pressure	36	2	TBD
disease	headache	51	4	TBD
duodenal_ulcer	h._pylorus_infection	15	2	TBD
illness	pain	264	17	TBD
high_cholesterol	heart_disease	183	4	TBD
anxiety	erectile_dysfunction	53	11	TBD
dehydration	electrolyte_imbalance	23	2	TBD
infection	dehydration	14	2	TBD
bacteria	condition	182	4	TBD
flu	fatigue	16	2	TBD
explosion	damage	160	10	TBD
earthquake	wave	13	3	TBD
event	depression	51	2	TBD
frustration	anger	160	8	TBD
diabetes	hyperglycemia	43	10	TBD
flu	symptom	180	5	TBD
atherosclerosis	disease	71	2	TBD
disease	indigestion	41	3	TBD
deficiency	anxiety	54	4	TBD
stress	toxin	6	2	TBD
obesity	cancer	145	4	TBD
anemia	complication	14	2	TBD
experience	stress	8	2	TBD
diabetes	cardiovascular_disease	39	4	TBD
inflammation	pinched_nerve	22	2	TBD
abnormal_cell_growth	cancer	11	2	TBD
tissue_damage	pain	66	5	TBD
work	discovery	27	3	TBD
low_self_esteem	depression	21	3	TBD
defect	fire	28	2	TBD
inflammation	aging	76	18	TBD
addiction	problem	143	28	TBD
cold	symptom	131	5	TBD
stress	ocd	9	3	TBD
obesity	disease	707	109	TBD
free_radical	chain_reaction	13	3	TBD
conflict	failure	10	2	TBD
terrorism	violence	15	3	TBD
stress	shallow_breathing	22	5	TBD
condition	blindness	235	6	TBD
violence	retaliation	7	2	TBD
fibromyalgia	symptom	245	16	TBD
plaque	atherosclerosis	27	5	TBD
hypercalcemia	kidney_failure	9	2	TBD
abuse	mental_illness	9	2	TBD
development	change	32	8	TBD
aging	wrinkle	609	12	TBD
metabolic_syndrome	heart_disease	33	2	TBD
stress	mistake	9	3	TBD
bacteria	plaque	89	14	TBD
hypertension	kidney_failure	105	11	TBD
illness	miscarriage	16	2	TBD
rain	water	11	2	TBD
wealth	happiness	12	3	TBD
war	chaos	73	4	TBD
severe_brain_damage	coma	7	2	TBD
free_radical	cancer	332	37	TBD
divorce	depression	13	3	TBD
environmental_factor	stress	10	2	TBD
malnutrition	weight_loss	15	2	TBD
condition	poor_circulation	24	8	TBD
heavy_period	anemia	10	2	TBD
landslide	loss	6	1	TBD
animal	disease	21	2	TBD
virus	herpes	41	3	TBD
scoliosis	pain	46	2	TBD
arrhythmia	heart_disease	12	2	TBD
bacteria	human_disease	44	6	TBD
problem	suspension	7	2	TBD
medication	high_blood_pressure	12	2	TBD
hpv_type	cancer	15	5	TBD
chemical	pain	423	9	TBD
inflammation	weight_gain	19	2	TBD
cancer	molecule	14	4	TBD
diabetes	coronary_heart_disease	22	5	TBD
behavior	distress	55	7	TBD
bacteria	dental_caries	17	5	TBD
frustration	depression	31	3	TBD
muscle_spasm	pain	275	18	TBD
personal_injury	damage	40	2	TBD
metabolic_disorder	insulin_resistance	8	2	TBD
leakage	damage	16	2	TBD
