Source	Target	Weight_Source_Target	Weight_Target_Source	Annotation
hospital_admission	complication	4	4	TBD
anxiety	craving	5	5	TBD
confrontation	conflict	3	3	TBD
medical_condition	excess_weight	3	3	TBD
osteoporosis	weak_bone	7	7	TBD
problem	dispute	3	3	TBD
explosion	expansion	4	4	TBD
assassination	unrest	3	3	TBD
spinal_cord_injury	fracture	2	2	TBD
material	cancer	17	17	TBD
condition	isolation	5	5	TBD
anger	guilt	6	6	TBD
lowered_immune_system	illness	4	4	TBD
resentment	bitterness	2	2	TBD
famine	problem	2	2	TBD
disease	dryness	6	6	TBD
energy	event	2	2	TBD
success	attention	7	7	TBD
displacement	change	2	2	TBD
acne	germ	2	2	TBD
fatty_liver	inflammation	3	3	TBD
infection	skin_problem	3	3	TBD
isolation	condition	5	5	TBD
demographic_change	conflict	2	2	TBD
chronic_venous_insufficiency	varicose_vein	5	5	TBD
vice	poverty	5	5	TBD
kidney_disorder	hypertension	2	2	TBD
emotional_eating	depression	5	5	TBD
weakness	infection	5	5	TBD
phenomenon	change	3	3	TBD
tooth_decay	malnutrition	3	3	TBD
exploitation	slavery	2	2	TBD
illness	kidney_disease	3	3	TBD
fistula	infection	3	3	TBD
paralysis	pain	4	4	TBD
anger	act	4	4	TBD
thiamine_deficiency	condition	2	2	TBD
depression	neurotransmitter_imbalance	2	2	TBD
change	pathology	2	2	TBD
speculation	death	4	4	TBD
flood	depression	2	2	TBD
ignorance	malnutrition	2	2	TBD
innovation	invention	5	5	TBD
tension	confusion	5	5	TBD
kidney_stone	urinary_tract_infection	2	2	TBD
expansion	cooling	5	5	TBD
feeling	ed	3	3	TBD
love	faith	9	9	TBD
condition	low_testosterone	3	3	TBD
fear	frustration	4	4	TBD
problem	ulcer	5	5	TBD
obesity	psoriasis	2	2	TBD
big_crunch	big_bang	4	4	TBD
elevated_intraocular_pressure	glaucoma	8	8	TBD
osteoporosis	disorder	12	12	TBD
schizophrenia	poverty	2	2	TBD
condition	life	3	3	TBD
sore_throat	illness	3	3	TBD
erosion	soil	2	2	TBD
disease	alcoholism	12	12	TBD
depression	unhappiness	2	2	TBD
inflammation	liver_damage	3	3	TBD
hyperthermia	seizure	3	3	TBD
change	phenomenon	3	3	TBD
pneumonia	congestive_heart_failure	4	4	TBD
event	wwii	2	2	TBD
diabetes	side_effect	12	12	TBD
economic_growth	population_growth	14	14	TBD
external_change	internal_change	3	3	TBD
elevated_blood_pressure	kidney_disease	10	10	TBD
mental_health_problem	violence	7	7	TBD
kidney_disease	illness	3	3	TBD
obesity	high_insulin_level	14	14	TBD
immune_system	infection	11	11	TBD
restlessness	insomnia	5	5	TBD
guilt	anger	6	6	TBD
poverty	poor_education	5	5	TBD
abandonment	fear	2	2	TBD
illness	sore_throat	3	3	TBD
illness	magnesium_deficiency	3	3	TBD
tax	death	2	2	TBD
oxidative_stress	neurological_disorder	2	2	TBD
conflict	fragmentation	3	3	TBD
price	inflation	3	3	TBD
mutation	disease_state	4	4	TBD
mental_retardation	problem	6	6	TBD
nausea	symptom	8	8	TBD
defect	infection	3	3	TBD
problem	vision_loss	2	2	TBD
depression	despair	7	7	TBD
alcoholism	disease	12	12	TBD
chromosomal_abnormality	cancer	3	3	TBD
independence	war	2	2	TBD
split	civil_war	2	2	TBD
suicide	homicide	5	5	TBD
darkness	light	6	6	TBD
political_instability	war	6	6	TBD
infection	failure	3	3	TBD
inflammatory_bowel_disease	depression	3	3	TBD
increase	increased_risk	4	4	TBD
fever	problem	6	6	TBD
action	confidence	2	2	TBD
stroke	hypoxia	2	2	TBD
infection	fistula	3	3	TBD
hypoglycemia	sepsis	2	2	TBD
death	tax	2	2	TBD
low_self-esteem	bullying	8	8	TBD
tension	anger	5	5	TBD
asthma_attack	symptom	3	3	TBD
problem	vitamin_b12_deficiency	6	6	TBD
mitochondrial_dysfunction	aging	6	6	TBD
problem	displacement	3	3	TBD
malignancy	dermatomyositis	2	2	TBD
laughter	health_benefit	3	3	TBD
dermatomyositis	malignancy	2	2	TBD
negotiation	conflict	4	4	TBD
physical_condition	disease	2	2	TBD
loss	fear	2	2	TBD
debt	death	2	2	TBD
criminal_behaviour	substance_abuse	3	3	TBD
dryness	disease	6	6	TBD
allergy	antibody	2	2	TBD
complication	serious_condition	3	3	TBD
war	political_instability	6	6	TBD
cell_death	degeneration	2	2	TBD
speculation	action	2	2	TBD
anxiety	joint_pain	2	2	TBD
action	prejudice	4	4	TBD
anxiety	neurotransmitter	2	2	TBD
repression	resistance	4	4	TBD
inflammation	respiratory_disease	4	4	TBD
poverty	schizophrenia	2	2	TBD
hypertension	kidney_disorder	2	2	TBD
positive_emotion	negative_emotion	3	3	TBD
condition	chronic_infection	2	2	TBD
infection	psoriasis	7	7	TBD
climate_change	destruction	8	8	TBD
error	error_message	3	3	TBD
depression	crisis	2	2	TBD
homicide	suicide	5	5	TBD
conflict	schism	2	2	TBD
civil_war	split	2	2	TBD
isolation	mental_illness	3	3	TBD
hypertension	oxidative_stress	5	5	TBD
inflammation	fatty_liver	3	3	TBD
smoke_inhalation	fire	2	2	TBD
coronary_artery_disease	condition	4	4	TBD
inflation	price_going_up	3	3	TBD
fistula	abscess	2	2	TBD
crisis	confusion	4	4	TBD
cancer	chromosomal_abnormality	3	3	TBD
condition	scarcity	2	2	TBD
scarring	pain	8	8	TBD
condition	narrowing	7	7	TBD
conflict	demographic_change	2	2	TBD
severe_pain	problem	9	9	TBD
aging	mitochondrial_dysfunction	6	6	TBD
impulsivity	substance_abuse	2	2	TBD
oxidative_stress	pathogenesis	2	2	TBD
water_retention	constipation	3	3	TBD
lack_of_appetite	anemia	2	2	TBD
antibody	allergy	2	2	TBD
damage	alzheimer_’_s_disease	3	3	TBD
problem	grief	7	7	TBD
industrial_revolution	technology	4	4	TBD
chronic_infection	condition	2	2	TBD
unemployment	domestic_violence	3	3	TBD
depression	flood	2	2	TBD
action	breach	3	3	TBD
birth_defect	damage	2	2	TBD
death	ceremony	4	4	TBD
drug_abuse	mental_illness	171	171	TBD
anxiety	action	8	8	TBD
ban	controversy	3	3	TBD
disorder	stroke	16	16	TBD
bronchitis	fever	4	4	TBD
attack	reaction	3	3	TBD
reaction	attack	3	3	TBD
personality_change	depression	2	2	TBD
water_vapor	warming	6	6	TBD
depression	heart_attack	10	10	TBD
error_message	error	3	3	TBD
condition	thiamine_deficiency	2	2	TBD
resistance	repression	4	4	TBD
chronic_condition	symptom	6	6	TBD
problem	removal	6	6	TBD
prejudice	action	4	4	TBD
stress	malnutrition	3	3	TBD
problem	psychological_problem	2	2	TBD
fever	bronchitis	4	4	TBD
despair	depression	7	7	TBD
condensation	condition	2	2	TBD
breast_pain	breast_cancer	3	3	TBD
problem	mental_retardation	6	6	TBD
complication	crisis	2	2	TBD
neurotransmitter	anxiety	2	2	TBD
conflict	confrontation	3	3	TBD
deformity	problem	2	2	TBD
war	controversy	2	2	TBD
technological_advance	industrial_revolution	3	3	TBD
activation	tissue_damage	2	2	TBD
depression	emotional_eating	5	5	TBD
difference	change	3	3	TBD
blindness	limb_amputation	2	2	TBD
depression	personality_change	2	2	TBD
change	displacement	2	2	TBD
fire	physical_damage	2	2	TBD
problem	famine	2	2	TBD
anger	tragedy	2	2	TBD
adjustment	change	2	2	TBD
tb	infection	4	4	TBD
bitterness	resentment	2	2	TBD
complication	hospital_admission	4	4	TBD
anxiety	binge_eating	2	2	TBD
scarcity	condition	2	2	TBD
collaboration	discovery	8	8	TBD
instability	injury	7	7	TBD
condition	medical_problem	19	19	TBD
symptom	asthma_attack	3	3	TBD
substance_abuse	impulsivity	2	2	TBD
salvation	suffering	4	4	TBD
infection	immune_system	11	11	TBD
inflammation_of_the_skin	infection	2	2	TBD
flatulence	constipation	3	3	TBD
fire	smoke_inhalation	2	2	TBD
crisis	depression	2	2	TBD
arrest	rioting	2	2	TBD
exploitation	problem	5	5	TBD
rioting	arrest	2	2	TBD
breach	action	3	3	TBD
confidence	action	2	2	TBD
problem	severe_pain	9	9	TBD
anxiety	resentment	2	2	TBD
condition	condensation	2	2	TBD
shock	heart_problem	2	2	TBD
excess_insulin	insulin_resistance	4	4	TBD
multiple_sclerosis	condition	2	2	TBD
pcb_’_s	cancer	4	4	TBD
anemia	lack_of_appetite	2	2	TBD
craving	anxiety	5	5	TBD
skin_problem	infection	3	3	TBD
sin	rebellion	2	2	TBD
periventricular_leukomalacia	colpocephaly	1	1	TBD
malnutrition	tooth_decay	3	3	TBD
rehabilitation	injury	2	2	TBD
inflammation	sunburn	4	4	TBD
deficit	depression	6	6	TBD
disorder	osteoporosis	12	12	TBD
cancer	poison	15	15	TBD
faith	love	9	9	TBD
tragedy	anger	2	2	TBD
damage	cardiovascular_disease	10	10	TBD
phobia	anxiety	10	10	TBD
stress	personal_injury	3	3	TBD
infection	discharge	10	10	TBD
cold_war	tension	3	3	TBD
condition	multiple_sclerosis	2	2	TBD
tear	death	8	8	TBD
love	understanding	2	2	TBD
binge_eating	anxiety	2	2	TBD
fatigue	weakness	4	4	TBD
inflation	price	3	3	TBD
suffering	salvation	4	4	TBD
problem	civil_war	11	11	TBD
confusion	crisis	4	4	TBD
disease	autoimmune_disease	3	3	TBD
injury	degeneration	3	3	TBD
understanding	love	2	2	TBD
illness	lowered_immune_system	4	4	TBD
fear	abandonment	2	2	TBD
constipation	water_retention	3	3	TBD
medical_problem	condition	19	19	TBD
inflation	price_change	2	2	TBD
trauma	abdominal_injury	2	2	TBD
empathy	understanding	4	4	TBD
chronic_insomnia	problem	2	2	TBD
malnutrition	stress	3	3	TBD
negative_emotion	positive_emotion	3	3	TBD
inflation	expansion	2	2	TBD
heart_attack	depression	10	10	TBD
neurotransmitter_imbalance	depression	2	2	TBD
varicose_vein	chronic_venous_insufficiency	5	5	TBD
worry	condition	2	2	TBD
discharge	infection	10	10	TBD
hypertension	intraparenchymal_hemorrhage	1	1	TBD
fire	action	5	5	TBD
complication	failure	5	5	TBD
damage	birth_defect	2	2	TBD
anxiety	withdrawal	15	15	TBD
germ	acne	2	2	TBD
multiple_sclerosis	chronic_cerebrospinal_venous_insufficiency	3	3	TBD
schism	conflict	2	2	TBD
oxidative_stress	hypertension	5	5	TBD
change	difference	3	3	TBD
misconception	confusion	3	3	TBD
high_insulin_level	obesity	14	14	TBD
warming	water_vapor	6	6	TBD
symptom	chronic_condition	6	6	TBD
inflammation	optic_neuritis	2	2	TBD
withdrawal	anxiety	15	15	TBD
internal_change	external_change	3	3	TBD
mental_illness	isolation	3	3	TBD
respiratory_disease	inflammation	4	4	TBD
depression	vicious_cycle	4	4	TBD
weakness	weight_loss	5	5	TBD
infection	weakness	5	5	TBD
instability	conflict	5	5	TBD
rebellion	sin	2	2	TBD
intraparenchymal_hemorrhage	hypertension	1	1	TBD
unhappiness	depression	2	2	TBD
price_change	inflation	2	2	TBD
war	independence	2	2	TBD
neurological_disorder	oxidative_stress	2	2	TBD
bias	difference	3	3	TBD
