Lemmatized	Original
complication_of_disease	complications_of_diseases
foreclosure	foreclosures
saturated_fat	saturated_fats
ear_infection	ear_infections
lung_cancer_death	lung_cancer_deaths
feeling	feelings
physical_ailment	physical_ailments
serious_side_effect	serious_side_effects
spinal_cord_injury	spinal_cord_injuries
nightmare	nightmares
medical_expense	medical_expenses
lost_wage	lost_wages
omission	omissions
emotion	emotions
bone_metastasis	bone_metastases
spinal_fracture	spinal_fractures
chemical_imbalance	chemical_imbalances
pinched_nerve	pinched_nerves
palpitation	palpitations
allergen	allergens
phenotype	phenotypes
muscle_spasm	muscle_spasms
effort	efforts
failure	failures
helicobacter_pylorus	helicobacter_pylori
stressor	stressors
organism	organisms
strain	strains
tropical_storm	tropical_storms
injury_received	injuries_received
rise_in_sea_level	rise_in_sea_levels
rise_in_sea_level	rises_in_sea_level
microbe	microbes
lung_cancer	lungs_cancer
lung_cancer	lung_cancers
physical_problem	physical_problems
genetic_change	genetic_changes
disability	disabilities
rising_temperature	rising_temperatures
bug	bugs
drunk_driver	drunk_drivers
misunderstanding	misunderstandings
cultural_difference	cultural_differences
tendon	tendons
adverse_effect	adverse_effects
yeast_infection	yeast_infections
infirmity_of_old_age	infirmities_of_old_age
car	cars
automobile_accident	automobile_accidents
varicose_vein	varicose_veins
medical_bill	medical_bills
treatment	treatments
low_level_of_serotonin	low_levels_of_serotonin
psychological_problem	psychological_problems
hospitalization	hospitalizations
auto_accident	auto_accidents
hormonal_imbalance	hormonal_imbalances
medical_problem	medical_problems
deficit	deficits
tax_cut	tax_cuts
behavior	behaviors
wave	waves
severe_drought	severe_droughts
video_game	video_games
distraction	distractions
suicide_attempt	suicide_attempts
cavity	cavities
negative_thought	negative_thoughts
trans_fat	trans_fats
adverse_reaction	adverse_reactions
heart_disease	heart_diseases
outbreak	outbreaks
wrongful_conviction	wrongful_convictions
false_confession	false_confessions
heart_palpitation	heart_palpitations
difficulty	difficulties
heat_wave	heat_waves
social_problem	social_problems
reaction	reactions
dispute	disputes
criminal_charge	criminal_charges
imbalance	imbalances
chromosomal_abnormality	chromosomal_abnormalities
beating	beatings
parasite	parasites
negotiation	negotiations
extinction	extinctions
peptic_ulcer	peptic_ulcers
motor_vehicle_collision	motor_vehicle_collisions
low_wage	low_wages
hpv_type	hpv_types
shingle	shingles
vertebral_fracture	vertebral_fractures
bacterial_infection	bacterial_infections
sprain	sprains
economic_loss	economic_losses
fatal_injury	fatal_injuries
mosquito	mosquitos
mosquito	mosquitoes
gunshot_wound	gunshot_wounds
warmer_temperature	warmer_temperatures
expectation	expectations
bodily_injury	bodily_injuries
cf	cfs
ligament	ligaments
cold	colds
abortion	abortions
unwanted_pregnancy	unwanted_pregnancies
reactive_oxygen_specie	reactive_oxygen_species
skin_problem	skin_problems
cell_phone	cell_phones
graf_’_disease	graves_’_disease
dead_skin_cell	dead_skin_cells
mental_health_problem	mental_health_problems
mood_swing	mood_swings
sleep_problem	sleep_problems
belief	beliefs
oral_cancer	oral_cancers
sedentary_lifestyle	sedentary_lifestyles
insect	insects
movement	movements
serious_complication	serious_complications
sinus_infection	sinus_infections
motor_vehicle_crash	motor_vehicle_crashes
clot	clots
procedure	procedures
blocked_artery	blocked_arteries
uvb_ray	uvb_rays
traumatic_event	traumatic_events
dark_circle	dark_circles
circulation_problem	circulation_problems
hardening_of_the_artery	hardening_of_the_arteries
dumped_import	dumped_imports
sulfur_dioxide_emission	sulfur_dioxide_emissions
steroid	steroids
firearm	firearms
severe_complication	severe_complications
health_condition	health_conditions
toxic_chemical	toxic_chemicals
minor_injury	minor_injuries
wart	warts
deformity	deformities
acne_breakout	acne_breakouts
solution	solutions
pimple	pimples
motorcycle_accident	motorcycle_accidents
herb	herbs
adverse_event	adverse_events
data_breach	data_breaches
eye_problem	eye_problems
financial_problem	financial_problems
clogged_artery	clogged_arteries
weather_condition	weather_conditions
weapon	weapons
98,000_death	98,000_deaths
sleep_disorder	sleep_disorders
external_hemorrhoid	external_hemorrhoids
graf_disease	graves_disease
food	foods
health_complication	health_complications
broken_bone	broken_bones
violation	violations
practice	practices
algal_bloom	algal_blooms
brain_injury	brain_injuries
demon	demons
lightning_strike	lightning_strikes
high_level	high_levels
wind	winds
genetic_disease	genetic_diseases
demonstration	demonstrations
spicy_food	spicy_foods
road_traffic_accident	road_traffic_accidents
lie	lies
animal	animals
policy	policies
civilian_casualty	civilian_casualties
crime	crimes
h._pylorus	h._pylori
lesion	lesions
charge	charges
car_crash	car_crashes
evil_spirit	evil_spirits
cloud	clouds
pleural_plaque	pleural_plaques
serious_disease	serious_diseases
suicide	suicides
pulmonary_complication	pulmonary_complications
tension	tensions
yield_loss	yield_losses
health_risk	health_risks
environmental_change	environmental_changes
comic_book	comic_books
skin_lesion	skin_lesions
wildfire	wildfires
300,000_death	300,000_deaths
circumstance	circumstances
cardiovascular_complication	cardiovascular_complications
sequence_of_event	sequence_of_events
cervical_cancer	cervical_cancers
respiratory_infection	respiratory_infections
substance	substances
pest	pests
kidney_stone	kidney_stones
higher_temperature	higher_temperatures
pm	pms
tanning_bed	tanning_beds
finance	finances
flare-up	flare-ups
permanent_disability	permanent_disabilities
underlying_issue	underlying_issues
compression_fracture	compression_fractures
cardiac_arrhythmia	cardiac_arrhythmias
layoff	layoffs
std	stds
absence	absences
birth_injury	birth_injuries
gun	guns
arrhythmia	arrhythmias
good_work	good_works
softening_of_the_bone	softening_of_the_bones
unsafe_working_condition	unsafe_working_conditions
brain_chemical	brain_chemicals
gas	gases
gas	gasses
gene_mutation	gene_mutations
allergic_reaction	allergic_reactions
digestive_problem	digestive_problems
surgery	surgeries
nutritional_deficiency	nutritional_deficiencies
medical_mistake	medical_mistakes
unhealthy_eating_habit	unhealthy_eating_habits
abscess	abscesses
hospital-acquired_infection	hospital-acquired_infections
low_level	low_levels
physical_injury	physical_injuries
unrealistic_expectation	unrealistic_expectations
baby	babies
amino_acid_substitution	amino_acid_substitutions
vertebral_compression_fracture	vertebral_compression_fractures
antidepressant	antidepressants
fossil_fuel	fossil_fuels
serious_problem	serious_problems
immunization	immunizations
lung_disease	lung_diseases
degenerative_disease	degenerative_diseases
hpv_infection	hpv_infections
release_of_hormone	release_of_hormones
medical_treatment	medical_treatments
recession	recessions
financial_crisis	financial_crises
rash	rashes
asbestos_fiber	asbestos_fibers
shipwreck	shipwrecks
adverse_health_effect	adverse_health_effects
human_action	human_actions
truck_accident	truck_accidents
chronic_illness	chronic_illnesses
fever	fevers
product	products
excess_calorie	excess_calories
extra_calorie	extra_calories
extreme_weather_condition	extreme_weather_conditions
sport_injury	sports_injury
sport_injury	sports_injuries
congestion_of_the_lung	congestion_of_the_lungs
pollutant	pollutants
pile	piles
tight_muscle	tight_muscles
change_in_weather_pattern	change_in_weather_patterns
change_in_weather_pattern	changes_in_weather_patterns
life_event	life_events
severe_weather_event	severe_weather_events
deficiency	deficiencies
cancer_death	cancer_deaths
burning_fossil_fuel	burning_fossil_fuels
asthma_attack	asthma_attacks
high_oil_price	high_oil_prices
breakout	breakouts
experience	experiences
extreme_event	extreme_events
exposure	exposures
birth_control_pill	birth_control_pills
destruction_of_red_blood_cell	destruction_of_red_blood_cells
cardiac_problem	cardiac_problems
catastrophic_injury	catastrophic_injuries
bankruptcy	bankruptcies
emergency_room_visit	emergency_room_visits
adverse_side_effect	adverse_side_effects
irreconcilable_difference	irreconcilable_differences
age_spot	age_spots
sale	sales
pedestrian_accident	pedestrian_accidents
inhalation_of_asbestos_fiber	inhalation_of_asbestos_fibers
tree	trees
digestive_disorder	digestive_disorders
bullet	bullets
thimerosal_in_vaccine	thimerosal_in_vaccines
sleepless_night	sleepless_nights
expense	expenses
cell	cells
pain	pains
pregnancy	pregnancies
long-term_complication	long-term_complications
minimum_wage_law	minimum_wage_laws
foodborne_illness	foodborne_illnesses
nitrogen_oxide	nitrogen_oxides
human_co2_emission	human_co2_emissions
restless_leg_syndrome	restless_legs_syndrome
relationship	relationships
severe_case	severe_cases
human_error	human_errors
bombing	bombings
use_of_fossil_fuel	use_of_fossil_fuels
prostaglandin	prostaglandins
larva	larvae
human_papilloma_virus	human_papilloma_viruses
riot	riots
arrest	arrests
epidemic	epidemics
electrical_problem	electrical_problems
conviction	convictions
tantrum	tantrums
sulfonylurea	sulfonylureas
prion	prions
desire	desires
non-communicable_disease	non-communicable_diseases
otitis_medium	otitis_media
ssri	ssris
clash	clashes
change_in_temperature	changes_in_temperature
accidental_mean	accidental_means
lawsuit	lawsuits
tide	tides
assault	assaults
review	reviews
cosmetic	cosmetics
obsession	obsessions
election	elections
heart_complication	heart_complications
aneurysm	aneurysms
abnormality	abnormalities
high_expectation	high_expectations
natural_hazard	natural_hazards
health_care_cost	health_care_costs
severe_storm	severe_storms
pressure_on_the_nerve	pressure_on_the_nerves
cockroach	cockroaches
cytokine	cytokines
high_interest_rate	high_interest_rates
worm	worms
uv_ray	uv_rays
tear	tears
circulatory_problem	circulatory_problems
hot_spot	hot_spots
intense_hurricane	intense_hurricanes
eye_disease	eye_diseases
hangover	hangovers
prescription_drug	prescription_drugs
negligent_action	negligent_actions
implant	implants
respiratory_complication	respiratory_complications
mouth_sore	mouth_sores
hormonal_problem	hormonal_problems
chronic_condition	chronic_conditions
impairment	impairments
inflammation_of_joint	inflammation_of_joints
overpayment	overpayments
trigger_point	trigger_points
weed	weeds
dna_mutation	dna_mutations
acquisition	acquisitions
1.5_million_fracture	1.5_million_fractures
watery_eye	watery_eyes
duo	dui
severe_infection	severe_infections
sleep_disturbance	sleep_disturbances
human_being	human_beings
evolutionary_change	evolutionary_changes
ingredient	ingredients
corticosteroid	corticosteroids
diarrheal_disease	diarrheal_diseases
higher_price	higher_prices
sexually_transmitted_disease	sexually_transmitted_diseases
fragrance	fragrances
narrowing_of_the_artery	narrowing_of_the_arteries
life-threatening_infection	life-threatening_infections
childhood_vaccine	childhood_vaccines
serious_health_complication	serious_health_complications
thyroid_problem	thyroid_problems
genetic_factor	genetic_factors
red_blood_cell	red_blood_cells
monsoon_rain	monsoon_rains
property_loss	property_losses
severe_loss	severe_losses
negative_event	negative_events
weakness	weaknesses
uva_ray	uva_rays
fungal_infection	fungal_infections
dental_problem	dental_problems
discrepancy	discrepancies
thing	things
higher_interest_rate	higher_interest_rates
breathing_problem	breathing_problems
mineral_deficiency	mineral_deficiencies
exposure_to_asbestos_fiber	exposure_to_asbestos_fibers
technical_difficulty	technical_difficulties
viral_infection	viral_infections
pain_in_the_joint	pain_in_the_joints
forgiveness_of_sin	forgiveness_of_sins
freckle	freckles
foot_problem	foot_problems
respiratory_disease	respiratory_diseases
inconsistency	inconsistencies
excess	excesses
m	ms
cut	cuts
additive	additives
blood_vessel	blood_vessels
preservative	preservatives
hpv_strain	hpv_strains
behavior_problem	behavior_problems
asthma_symptom	asthma_symptoms
irregular_period	irregular_periods
cardiovascular_problem	cardiovascular_problems
back_problem	back_problems
bad_eating_habit	bad_eating_habits
white_blood_cell	white_blood_cells
blocked_fallopian_tube	blocked_fallopian_tubes
health_effect	health_effects
stain	stains
flight_delay	flight_delays
item	items
rickets_in_child	rickets_in_children
chemical_imbalance_in_the_brain	chemical_imbalances_in_the_brain
migraine_headache	migraine_headaches
ro	ros
ache	aches
pill	pills
lower_rate	lower_rates
house_fire	house_fires
candle	candles
diet	diets
high_mortality_rate	high_mortality_rates
increased_temperature	increased_temperatures
tissue	tissues
rising_sea	rising_seas
dangerous_condition	dangerous_conditions
fat	fats
personal_problem	personal_problems
eating_disorder	eating_disorders
protein	proteins
physiological_change	physiological_changes
health_related_problem	health_related_problems
h._pylorus_infection	h._pylori_infections
h._pylorus_infection	h._pylori_infection
deadly_disease	deadly_diseases
herniated_disc	herniated_discs
medication_error	medication_errors
plaque	plaques
defect	defects
sanction	sanctions
fallen_tree	fallen_trees
cv	cvs
uterine_contraction	uterine_contractions
cause	causes
short_circuit	short_circuits
crack	cracks
autoimmune_disease	autoimmune_diseases
craving	cravings
serious_medical_condition	serious_medical_conditions
behavioral_problem	behavioral_problems
mutation_in_dna	mutations_in_dna
sexual_problem	sexual_problems
increased_cost	increased_costs
brittle_bone	brittle_bones
fear	fears
serious_accident	serious_accidents
trigger	triggers
intervention	interventions
family_problem	family_problems
intentional_act	intentional_acts
unsafe_condition	unsafe_conditions
bruise	bruises
falling_object	falling_objects
statin	statins
eating_habit	eating_habits
bacterium_helicobacter_pylorus	bacterium_helicobacter_pylori
variation	variations
similar_symptom	similar_symptoms
seasonal_allergy	seasonal_allergies
excessive_wage	excessive_wages
stress	stresses
famine	famines
helicobacter_pylorus_infection	helicobacter_pylori_infection
helicobacter_pylorus_infection	helicobacter_pylori_infections
gastric_ulcer	gastric_ulcers
undersea_earthquake	undersea_earthquakes
spasm_of_the_coronary_artery	spasm_of_the_coronary_arteries
lower_urinary_tract_symptom	lower_urinary_tract_symptoms
gas_leak	gas_leaks
poison	poisons
bush_tax_cut	bush_tax_cuts
vandal	vandals
benzodiazepine	benzodiazepines
cancellation	cancellations
vehicle	vehicles
duodenal_ulcer	duodenal_ulcers
experiment	experiments
faulty_brake	faulty_brakes
thunderstorm	thunderstorms
ground_loop	ground_loops
severe_head_injury	severe_head_injuries
root	roots
chemotherapy_drug	chemotherapy_drugs
human_disease	human_diseases
serious_birth_defect	serious_birth_defects
misfolded_protein	misfolded_proteins
idea	ideas
bacteria_helicobacter_pylorus	bacteria_helicobacter_pylori
withdrawal_symptom	withdrawal_symptoms
fight	fights
mutation_in_gene	mutations_in_genes
ultraviolet_ray	ultraviolet_rays
widespread_power_outage	widespread_power_outages
heavy_monsoon_rain	heavy_monsoon_rains
oil_spill	oil_spills
outcome	outcomes
higher_dos	higher_doses
glacier_to_melt	glaciers_to_melt
health_hazard	health_hazards
financial_difficulty	financial_difficulties
communicable_disease	communicable_diseases
mmr_vaccine	mmr_vaccines
aviation_accident	aviation_accidents
wolf	wolves
contaminant	contaminants
hardship	hardships
miscarriage	miscarriages
threat	threats
ischemic_stroke	ischemic_strokes
sore_throat	sore_throats
child_death	child_deaths
severe_birth_defect	severe_birth_defects
adaptation	adaptations
mutation_in_the_mecp2_gene	mutations_in_the_mecp2_gene
stereotype	stereotypes
physical_change	physical_changes
child	children
al	als
outage	outages
extinction_of_the_dinosaur	extinction_of_the_dinosaurs
sea_level_to_rise	sea_levels_to_rise
price_increase	price_increases
musculoskeletal_disorder	musculoskeletal_disorders
fragility_fracture	fragility_fractures
sting	stings
increase	increases
thimerosal-containing_vaccine	thimerosal-containing_vaccines
eye_infection	eye_infections
adverse_weather_condition	adverse_weather_conditions
swollen_lymph_node	swollen_lymph_nodes
drug_interaction	drug_interactions
firework	fireworks
loss_of_life	loss_of_lives
mental_problem	mental_problems
preventable_death	preventable_deaths
terrorist_attack	terrorist_attacks
mental_disorder	mental_disorders
bad_habit	bad_habits
death_in_the_united_state	death_in_the_united_states
death_in_the_united_state	deaths_in_the_united_states
medical_cost	medical_costs
success	successes
huge_deficit	huge_deficits
joint_problem	joint_problems
challenge	challenges
stone	stones
better_outcome	better_outcomes
diuretic	diuretics
cardiovascular_event	cardiovascular_events
fine_line	fine_lines
skeletal_deformity	skeletal_deformities
tremor	tremors
money_problem	money_problems
additional_cost	additional_costs
serious_health_issue	serious_health_issues
mishap	mishaps
liver_problem	liver_problems
infirmity_of_age	infirmities_of_age
unwanted_side_effect	unwanted_side_effects
adverse_drug_event	adverse_drug_events
maternal_death	maternal_deaths
workplace_condition	workplace_conditions
hormonal_fluctuation	hormonal_fluctuations
discontinuation	discontinuations
intestinal_parasite	intestinal_parasites
serious_infection	serious_infections
external_cause	external_causes
release_of_endorphin	release_of_endorphins
variety_of_condition	variety_of_conditions
heavy_metal	heavy_metals
uterine_fibroid	uterine_fibroids
intestinal_worm	intestinal_worms
interaction	interactions
formation_of_blood_clot	formation_of_blood_clots
urinary_problem	urinary_problems
kidney_problem	kidney_problems
language_barrier	language_barriers
emotional_problem	emotional_problems
pressure_point	pressure_points
trip	trips
excess_death	excess_deaths
androgen	androgens
compound	compounds
muscle_strain	muscle_strains
anal_cancer	anal_cancers
iron_supplement	iron_supplements
green_house_gas	green_house_gases
green_house_gas	green_house_gasses
word	words
dry_eye	dry_eyes
limitation	limitations
dog_bite	dog_bites
change_in_the_brain	changes_in_the_brain
phenomenon	phenomena
goiter	goiters
holiday	holidays
plantation	plantations
complication_of_ailment	complication_of_ailments
storm_event	storm_events
rising_ocean_temperature	rising_ocean_temperatures
stimulant	stimulants
habit	habits
blow	blows
process	processes
saving	savings
financial_burden	financial_burdens
health_disorder	health_disorders
greasy_food	greasy_foods
financial_loss	financial_losses
geomagnetic_storm	geomagnetic_storms
retrovirus	retroviruses
work	works
system	systems
intense_storm	intense_storms
investment	investments
dangerous_side_effect	dangerous_side_effects
workplace_accident	workplace_accidents
high_dos	high_doses
unsanitary_condition	unsanitary_conditions
inflammation_of_the_airway	inflammation_of_the_airways
forest_fire	forest_fires
plaintiff_'s_injury	plaintiff_'s_injuries
increased_price	increased_prices
exposure_to_loud_noise	exposure_to_loud_noises
shoe	shoes
unsafe_abortion	unsafe_abortions
road_condition	road_conditions
disease_of_the_heart	diseases_of_the_heart
lifestyle_change	lifestyle_changes
negligent_act	negligent_acts
climatic_change	climatic_changes
cost_overrun	cost_overruns
neurodegenerative_disease	neurodegenerative_diseases
health_benefit	health_benefits
penalty	penalties
painful_period	painful_periods
dissimilar_metal	dissimilar_metals
nosocomial_infection	nosocomial_infections
road	roads
turnover	turnovers
ear_problem	ear_problems
high-risk_situation	high-risk_situations
genetic_problem	genetic_problems
mutation_in_mecp2	mutations_in_mecp2
nutrient	nutrients
concern	concerns
injection	injections
unintended_pregnancy	unintended_pregnancies
unpleasant_side_effect	unpleasant_side_effects
cost	costs
serious_illness	serious_illnesses
communication_problem	communication_problems
hemorrhage	hemorrhages
talk	talks
bone_disease	bone_diseases
metal	metals
large_breast	large_breasts
diarrhoeal_disease	diarrhoeal_diseases
mass_extinction	mass_extinctions
artifact	artifacts
skin_cancer	skin_cancers
high_cholesterol_level	high_cholesterol_levels
melting_of_glacier	melting_of_glaciers
autism_in_child	autism_in_children
skin_infection	skin_infections
stomach_problem	stomach_problems
flat_foot	flat_feet
obstacle	obstacles
lung_problem	lung_problems
cfc	cfcs
tick	ticks
muscle_imbalance	muscle_imbalances
multiple_birth	multiple_births
fertility_treatment	fertility_treatments
pelvic_adhesion	pelvic_adhesions
blessing	blessings
ocean_to_rise	oceans_to_rise
vehicle_accident	vehicle_accidents
inflammation_of_the_joint	inflammation_of_the_joints
serious_health_consequence	serious_health_consequences
vision_problem	vision_problems
flea	fleas
sore_muscle	sore_muscles
strain_of_hpv	strains_of_hpv
variable	variables
device	devices
hard_stool	hard_stools
underlying_problem	underlying_problems
credit_card	credit_cards
unintended_consequence	unintended_consequences
factor	factors
severe_reaction	severe_reactions
high_insulin_level	high_insulin_levels
hair_loss_in_woman	hair_loss_in_women
insect_pest	insect_pests
mental_illness	mental_illnesses
air_bag	air_bags
de	des
brown_spot	brown_spots
physical_condition	physical_conditions
food_additive	food_additives
chill	chills
frequent_headache	frequent_headaches
negative_consequence	negative_consequences
exposure_to_carcinogen	exposure_to_carcinogens
delusion	delusions
gastrointestinal_infection	gastrointestinal_infections
lack_of_resource	lack_of_resources
plant_disease	plant_diseases
element	elements
nutrient_deficiency	nutrient_deficiencies
low_interest_rate	low_interest_rates
bedsore	bedsores
cancer_treatment	cancer_treatments
costly_repair	costly_repairs
window	windows
atypical_antipsychotic	atypical_antipsychotics
distracted_driver	distracted_drivers
environmental_problem	environmental_problems
chemotherapy_treatment	chemotherapy_treatments
scalp_infection	scalp_infections
neck_problem	neck_problems
communication_difficulty	communication_difficulties
trucking_accident	trucking_accidents
religion	religions
lower_cost	lower_costs
bird	birds
neural_tube_defect	neural_tube_defects
unsafe_act	unsafe_acts
subsidy	subsidies
illegal_abortion	illegal_abortions
slug	slugs
airborne_particle	airborne_particles
numerous_health_problem	numerous_health_problems
achievement	achievements
inflammation_of_the_lung	inflammation_of_the_lungs
interruption	interruptions
technical_issue	technical_issues
allergy_symptom	allergy_symptoms
rising_wage	rising_wages
nerve_ending	nerve_endings
system_crash	system_crashes
infirmity	infirmities
violent_storm	violent_storms
accomplishment	accomplishments
chimney_fire	chimney_fires
internal_factor	internal_factors
damage_cell	damage_cells
misalignment	misalignments
dioxin	dioxins
toothache	toothaches
frustration	frustrations
tragedy	tragedies
raid	raids
gall	galls
corn	corns
eye_injury	eye_injuries
problem_behavior	problem_behaviors
bleeding_gum	bleeding_gums
spirit	spirits
natural_process	natural_processes
social_change	social_changes
temperature_change	temperature_changes
combined_effect	combined_effects
similarity	similarities
ghg_emission	ghg_emissions
stillbirth	stillbirths
arm_race	arms_races
arm_race	arms_race
lung	lungs
cancer_in_animal	cancer_in_animals
cancer_in_animal	cancers_in_animals
natural_fire	natural_fires
rhinovirus	rhinoviruses
road_closure	road_closures
unknown_cause	unknown_causes
collection_of_pu	collection_of_pus
anxiety_disorder	anxiety_disorders
comment	comments
downed_tree	downed_trees
solar_flare	solar_flares
jew	jews
death_in_woman	deaths_in_women
death_in_woman	death_in_women
waterborne_disease	waterborne_diseases
design_change	design_changes
fall	falls
rear-end_collision	rear-end_collisions
social_ill	social_ills
polar_ice_cap_to_melt	polar_ice_caps_to_melt
electric_current	electric_currents
frequent_drought	frequent_droughts
poor_harvest	poor_harvests
strike	strikes
ovarian_cyst	ovarian_cysts
combination_of_factor	combination_of_factors
volcano	volcanos
volcano	volcanoes
skill	skills
false_positive_result	false_positive_results
irritant	irritants
overuse_of_antibiotic	overuse_of_antibiotics
severe_symptom	severe_symptoms
decline	declines
abnormal_heart_rhythm	abnormal_heart_rhythms
bomb	bombs
terrorist_act	terrorist_acts
back_injury	back_injuries
motor_vehicle	motor_vehicles
five_death	five_deaths
power_line	power_lines
rough_sea	rough_seas
high_tide	high_tides
impact	impacts
import	imports
poisoning	poisonings
physical_disability	physical_disabilities
operation	operations
default	defaults
world_war	world_wars
mechanical_problem	mechanical_problems
software_bug	software_bugs
genetic_abnormality	genetic_abnormalities
serious_adverse_event	serious_adverse_events
external_factor	external_factors
livestock_loss	livestock_losses
adverse_drug_reaction	adverse_drug_reactions
muscle_injury	muscle_injuries
mortality_rate	mortality_rates
specie	species
suicidal_tendency	suicidal_tendencies
invasive_specie	invasive_species
crop_loss	crop_losses
medical_complication	medical_complications
production_of_antibody	production_of_antibodies
high_rate	high_rates
severe_thunderstorm	severe_thunderstorms
civilian_death	civilian_deaths
insurgent	insurgents
mutation_in_this_gene	mutations_in_this_gene
marriage	marriages
low_estrogen_level	low_estrogen_levels
dog	dogs
security_breach	security_breaches
weather_extreme	weather_extremes
vibration	vibrations
automobile	automobiles
significant_loss	significant_losses
human_death	human_deaths
leaf_spot	leaf_spots
yeast	yeasts
poor_road_condition	poor_road_conditions
isocyanate	isocyanates
restriction	restrictions
chronic_otitis_medium	chronic_otitis_media
prosecution	prosecutions
sore	sores
missile	missiles
negative_emotion	negative_emotions
high_temperature	high_temperatures
overdose_of_sleeping_pill	overdose_of_sleeping_pills
chest_pain	chest_pains
force	forces
multiple_stab_wound	multiple_stab_wounds
drug_cartel	drug_cartels
tropical_cyclone	tropical_cyclones
