Source	Target	Comment
chemical_imbalance	chemical_imbalance	reflxive edge
failure	failure	reflxive edge
stress	stress	reflxive edge
improvement	improvement	reflxive edge
incident	incident	reflxive edge
aid	aid	reflxive edge
litigation	litigation	reflxive edge
landslide	landslide	reflxive edge
negligence	negligence	reflxive edge
disappointment	disappointment	reflxive edge
personal_injury	personal_injury	reflxive edge
divorce	divorce	reflxive edge
crash	crash	reflxive edge
water	water	reflxive edge
diarrhea	diarrhea	reflxive edge
discovery	discovery	reflxive edge
distress	distress	reflxive edge
heart_disease	heart_disease	reflxive edge
suicide	suicide	reflxive edge
flood	flood	reflxive edge
discomfort	discomfort	reflxive edge
impotence	impotence	reflxive edge
sickness	sickness	reflxive edge
lameness	lameness	reflxive edge
cancer	cancer	reflxive edge
stroke	stroke	reflxive edge
violence	violence	reflxive edge
blood_flow	blood_flow	reflxive edge
breast_cancer	breast_cancer	reflxive edge
emission	emission	reflxive edge
schizophrenia	schizophrenia	reflxive edge
inflammation	inflammation	reflxive edge
allergy	allergy	reflxive edge
behavior	behavior	reflxive edge
serious_bodily_injury	serious_bodily_injury	reflxive edge
acne	acne	reflxive edge
side_effect	side_effect	reflxive edge
speculation	speculation	reflxive edge
condition	condition	reflxive edge
dehydration	dehydration	reflxive edge
confusion	confusion	reflxive edge
distortion	distortion	reflxive edge
bleeding	bleeding	reflxive edge
problem	problem	reflxive edge
pregnancy	pregnancy	reflxive edge
rejection	rejection	reflxive edge
insomnia	insomnia	reflxive edge
diabetes	diabetes	reflxive edge
carpal_tunnel_syndrome	carpal_tunnel_syndrome	reflxive edge
movement	movement	reflxive edge
god	god	reflxive edge
aging	aging	reflxive edge
flooding	flooding	reflxive edge
life	life	reflxive edge
hair_loss	hair_loss	reflxive edge
fatality	fatality	reflxive edge
hate	hate	reflxive edge
terror	terror	reflxive edge
aphasia	aphasia	reflxive edge
weight_gain	weight_gain	reflxive edge
innovation	innovation	reflxive edge
erectile_dysfunction	erectile_dysfunction	reflxive edge
decline	decline	reflxive edge
violation	violation	reflxive edge
physical_harm	physical_harm	reflxive edge
exploitation	exploitation	reflxive edge
sleep_disorder	sleep_disorder	reflxive edge
situation	situation	reflxive edge
congestion	congestion	reflxive edge
mutation	mutation	reflxive edge
dementia	dementia	reflxive edge
crime	crime	reflxive edge
ed	ed	reflxive edge
difference	difference	reflxive edge
asbestos	asbestos	reflxive edge
cat	cat	reflxive edge
excitement	excitement	reflxive edge
destruction	destruction	reflxive edge
fibromyalgia	fibromyalgia	reflxive edge
anger	anger	reflxive edge
panic	panic	reflxive edge
evil	evil	reflxive edge
glaucoma	glaucoma	reflxive edge
reaction	reaction	reflxive edge
dry_skin	dry_skin	reflxive edge
victory	victory	reflxive edge
friction	friction	reflxive edge
fat	fat	reflxive edge
homelessness	homelessness	reflxive edge
murder	murder	reflxive edge
edema	edema	reflxive edge
reduction	reduction	reflxive edge
claim	claim	reflxive edge
pressure	pressure	reflxive edge
drug	drug	reflxive edge
migraine	migraine	reflxive edge
negative_thought	negative_thought	reflxive edge
rise	rise	reflxive edge
damage	damage	reflxive edge
debt	debt	reflxive edge
uncertainty	uncertainty	reflxive edge
mortality	mortality	reflxive edge
growth	growth	reflxive edge
chemical	chemical	reflxive edge
obesity	obesity	reflxive edge
alcohol	alcohol	reflxive edge
work	work	reflxive edge
confrontation	confrontation	reflxive edge
bitterness	bitterness	reflxive edge
harm	harm	reflxive edge
concussion	concussion	reflxive edge
tinnitus	tinnitus	reflxive edge
earthquake	earthquake	reflxive edge
theft	theft	reflxive edge
suicide	depression	removed since nu = 22.62162162162162
disability	depression	removed since nu = 29.214285714285715
depression	chemical_in_the_brain	removed since nu = 53.833333333333336
recovery	depression	removed since nu = 34.5
depression	imbalance	removed since nu = 27.0
depression	event	removed since nu = 25.5
depression	sleep_deprivation	removed since nu = 133.5
death	violence	removed since nu = 43.2
violence	religion	removed since nu = 70.0
violence	drug	removed since nu = 26.0
death	injury	removed since nu = 24.431818181818183
death	sin	removed since nu = 55.59090909090909
death	illness	removed since nu = 73.46666666666667
death	disease	removed since nu = 94.88
death	war	removed since nu = 90.28571428571429
death	accident	removed since nu = 314.22222222222223
death	complication	removed since nu = 267.0
death	murder	removed since nu = 66.66666666666667
death	pneumonia	removed since nu = 149.88888888888889
death	failure	removed since nu = 23.571428571428573
death	fire	removed since nu = 22.866666666666667
death	fall	removed since nu = 49.333333333333336
death	stroke	removed since nu = 292.14285714285717
death	heart_attack	removed since nu = 258.0
death	activity	removed since nu = 22.333333333333332
death	wound	removed since nu = 34.0
death	vaccine	removed since nu = 52.25
death	infection	removed since nu = 60.89473684210526
death	smoking	removed since nu = 153.25
death	drug	removed since nu = 122.8
death	respiratory_failure	removed since nu = 83.66666666666667
death	heart_disease	removed since nu = 1340.5
death	cardiac_arrest	removed since nu = 79.25
death	hemorrhage	removed since nu = 57.666666666666664
death	cancer	removed since nu = 357.375
death	disorder	removed since nu = 83.0
death	abortion	removed since nu = 64.0
death	serious_health_problem	removed since nu = 27.5
death	surprise	removed since nu = 23.5
loss	delay	removed since nu = 20.8
inconvenience	delay	removed since nu = 37.42857142857143
delay	error	removed since nu = 20.333333333333332
pain	injury	removed since nu = 37.48148148148148
discomfort	injury	removed since nu = 21.5
injury	accident	removed since nu = 121.56
injury	side_effect	removed since nu = 32.5
injury	incident	removed since nu = 136.66666666666666
injury	failure	removed since nu = 56.8
injury	fire	removed since nu = 125.5
injury	defect	removed since nu = 20.307692307692307
injury	exposure	removed since nu = 52.666666666666664
injury	fall	removed since nu = 48.7
injury	car_accident	removed since nu = 44.55555555555556
injury	negligence	removed since nu = 391.5
injury	action	removed since nu = 124.0
problem	change	removed since nu = 32.09090909090909
confusion	change	removed since nu = 41.666666666666664
improvement	change	removed since nu = 23.166666666666668
change	aging	removed since nu = 30.22222222222222
change	event	removed since nu = 40.5
skin_cancer	damage	removed since nu = 51.5
damage	fire	removed since nu = 61.95238095238095
damage	leak	removed since nu = 29.666666666666668
damage	flooding	removed since nu = 26.166666666666668
damage	free_radical	removed since nu = 94.4
damage	defect	removed since nu = 27.25
damage	stress	removed since nu = 49.22222222222222
damage	effect	removed since nu = 42.0
damage	erosion	removed since nu = 38.333333333333336
damage	landslide	removed since nu = 37.0
damage	theft	removed since nu = 230.5
damage	accident	removed since nu = 139.3
damage	infection	removed since nu = 53.333333333333336
damage	flood	removed since nu = 106.0
damage	child	removed since nu = 34.0
damage	radiation	removed since nu = 443.0
damage	oxidative_stress	removed since nu = 44.0
damage	water	removed since nu = 195.66666666666666
damage	vandalism	removed since nu = 263.3333333333333
damage	personal_injury	removed since nu = 20.0
damage	disaster	removed since nu = 35.8
complication	disease	removed since nu = 27.714285714285715
complication	diabetes	removed since nu = 49.8125
complication	condition	removed since nu = 28.76923076923077
complication	childbirth	removed since nu = 33.0
nerve_damage	diabetes	removed since nu = 152.33333333333334
blindness	condition	removed since nu = 39.166666666666664
blindness	infection	removed since nu = 28.333333333333332
problem	drug_abuse	removed since nu = 20.4
problem	alcohol_abuse	removed since nu = 22.2
problem	drug	removed since nu = 65.0
problem	scar_tissue	removed since nu = 69.5
problem	weight_loss	removed since nu = 75.33333333333333
problem	drug_use	removed since nu = 24.714285714285715
problem	food	removed since nu = 45.666666666666664
problem	racism	removed since nu = 33.0
problem	misunderstanding	removed since nu = 28.333333333333332
problem	mistake	removed since nu = 23.0
problem	drinking	removed since nu = 37.0
problem	activity	removed since nu = 38.0
problem	imbalance	removed since nu = 24.5
problem	acne	removed since nu = 35.5
problem	religion	removed since nu = 31.5
problem	smoking	removed since nu = 20.142857142857142
problem	alcohol	removed since nu = 55.57142857142857
problem	chemical	removed since nu = 49.666666666666664
problem	autism	removed since nu = 26.5
heart_disease	diabetes	removed since nu = 20.2
serious_complication	diabetes	removed since nu = 80.5
chronic_kidney_disease	diabetes	removed since nu = 47.666666666666664
long-term_complication	diabetes	removed since nu = 36.5
heart_attack	heart_disease	removed since nu = 28.285714285714285
heart_disease	high_blood_pressure	removed since nu = 56.0
heart_disease	high_cholesterol	removed since nu = 45.75
heart_disease	hypertension	removed since nu = 26.5
symptom	disorder	removed since nu = 23.65
symptom	asthma	removed since nu = 21.142857142857142
symptom	inflammation	removed since nu = 59.333333333333336
symptom	infection	removed since nu = 76.5
symptom	arthritis	removed since nu = 36.22222222222222
symptom	allergy	removed since nu = 48.142857142857146
symptom	reaction	removed since nu = 54.5
symptom	flu	removed since nu = 36.0
symptom	cancer	removed since nu = 49.63636363636363
symptom	tmj	removed since nu = 21.5
symptom	migraine	removed since nu = 34.5
symptom	withdrawal	removed since nu = 26.5
symptom	sinusitis	removed since nu = 29.6
symptom	aging	removed since nu = 37.333333333333336
symptom	cold	removed since nu = 26.2
symptom	multiple_sclerosis	removed since nu = 42.5
symptom	health_problem	removed since nu = 23.0
serious_complication	infection	removed since nu = 21.666666666666668
kidney_failure	condition	removed since nu = 59.666666666666664
brain_damage	stroke	removed since nu = 34.8
stroke	condition	removed since nu = 24.63157894736842
stroke	high_blood_pressure	removed since nu = 96.75
stroke	disease	removed since nu = 24.0
stroke	blockage	removed since nu = 36.666666666666664
stroke	hypertension	removed since nu = 72.75
stroke	blood_clot	removed since nu = 62.888888888888886
stroke	atherosclerosis	removed since nu = 65.5
stroke	vascular_disease	removed since nu = 29.0
disability	disease	removed since nu = 124.33333333333333
mortality	disease	removed since nu = 40.75
hair_loss	disease	removed since nu = 23.0
infertility	disease	removed since nu = 46.25
weight_loss	disease	removed since nu = 21.833333333333332
discomfort	disease	removed since nu = 20.333333333333332
anemia	disease	removed since nu = 23.5
chronic_pain	disease	removed since nu = 23.0
erectile_dysfunction	disease	removed since nu = 48.0
lameness	disease	removed since nu = 54.5
back_pain	disease	removed since nu = 35.333333333333336
weight_gain	disease	removed since nu = 42.63636363636363
disease	free_radical	removed since nu = 20.90909090909091
stigma	disease	removed since nu = 42.22222222222222
disease	food	removed since nu = 20.666666666666668
disease	toxin	removed since nu = 21.176470588235293
disease	imbalance	removed since nu = 48.0
disease	atherosclerosis	removed since nu = 35.5
disease	nutritional_deficiency	removed since nu = 28.666666666666668
disease	environmental_factor	removed since nu = 27.333333333333332
disease	exposure	removed since nu = 51.6
disease	asbestos	removed since nu = 138.0
infertility	endometriosis	removed since nu = 58.666666666666664
infertility	condition	removed since nu = 77.5
health_problem	obesity	removed since nu = 30.72222222222222
cancer	obesity	removed since nu = 36.25
obesity	weight_gain	removed since nu = 36.5
obesity	overeating	removed since nu = 26.0
weight_gain	stress	removed since nu = 44.4
weight_gain	drug	removed since nu = 47.5
confusion	incident	removed since nu = 141.5
confusion	ignorance	removed since nu = 21.0
confusion	condition	removed since nu = 35.0
civil_war	tension	removed since nu = 26.0
tension	fear	removed since nu = 29.0
pain	poor_posture	removed since nu = 22.0
hunger	poverty	removed since nu = 29.6
terrorism	poverty	removed since nu = 55.333333333333336
agent	cancer	removed since nu = 24.142857142857142
cancer	dna_damage	removed since nu = 23.142857142857142
cancer	smoking	removed since nu = 51.78125
cancer	radiation	removed since nu = 27.0
cancer	exposure	removed since nu = 29.5
cancer	birth_defect	removed since nu = 23.666666666666668
cancer	asbestos_exposure	removed since nu = 47.4
cancer	cell_damage	removed since nu = 25.75
cancer	asbestos	removed since nu = 56.42857142857143
harm	chemical	removed since nu = 31.0
heart_failure	high_blood_pressure	removed since nu = 58.666666666666664
heart_attack	high_blood_pressure	removed since nu = 127.0
tinnitus	high_blood_pressure	removed since nu = 24.0
high_blood_pressure	pregnancy	removed since nu = 32.5
insomnia	stress	removed since nu = 28.166666666666668
headache	stress	removed since nu = 24.25
heart_attack	stress	removed since nu = 58.666666666666664
burnout	stress	removed since nu = 38.2
hypertension	stress	removed since nu = 28.666666666666668
muscle_tension	stress	removed since nu = 23.4
erectile_dysfunction	stress	removed since nu = 36.25
sickness	stress	removed since nu = 49.0
physical_illness	stress	removed since nu = 38.5
inflammation	stress	removed since nu = 25.25
fatality	accident	removed since nu = 134.5
disability	accident	removed since nu = 129.5
personal_injury	accident	removed since nu = 218.5
accident	impairment	removed since nu = 20.333333333333332
water	accident	removed since nu = 33.0
disability	illness	removed since nu = 122.0
disability	chronic_pain	removed since nu = 20.5
seizure	epilepsy	removed since nu = 83.55
seizure	fever	removed since nu = 104.5
loss	failure	removed since nu = 34.333333333333336
loss	error	removed since nu = 93.5
loss	claim	removed since nu = 34.5
mortality	infection	removed since nu = 36.0
pain	trauma	removed since nu = 26.0
fracture	trauma	removed since nu = 26.5
conflict	fear	removed since nu = 21.4
error	conflict	removed since nu = 27.0
conflict	situation	removed since nu = 23.0
headache	anxiety	removed since nu = 22.666666666666668
distress	anxiety	removed since nu = 35.0
premature_ejaculation	anxiety	removed since nu = 26.333333333333332
anxiety	thought	removed since nu = 20.333333333333332
anxiety	uncertainty	removed since nu = 23.5
guilt	sin	removed since nu = 109.33333333333333
anger	frustration	removed since nu = 20.0
autism	vaccine	removed since nu = 596.0
disorder	mutation	removed since nu = 27.4
dementia	condition	removed since nu = 37.333333333333336
dementia	alzheimer_'_s_disease	removed since nu = 35.166666666666664
dementia	alzheimer_'s_disease	removed since nu = 118.33333333333333
pain	condition	removed since nu = 74.68181818181819
fatigue	condition	removed since nu = 20.555555555555557
severe_pain	condition	removed since nu = 57.5
heart_attack	condition	removed since nu = 25.58823529411765
nausea	condition	removed since nu = 40.0
congestive_heart_failure	condition	removed since nu = 21.666666666666668
bad_breath	condition	removed since nu = 36.5
serious_problem	condition	removed since nu = 40.5
acne	condition	removed since nu = 22.5
condition	bacteria	removed since nu = 45.5
behavior	adhd	removed since nu = 35.0
difficulty	pain	removed since nu = 28.0
pain	action	removed since nu = 37.0
reaction	action	removed since nu = 25.555555555555557
action	decision	removed since nu = 66.0
pain	inflammation	removed since nu = 26.77777777777778
pain	infection	removed since nu = 29.833333333333332
pain	pressure	removed since nu = 42.2
pain	migraine	removed since nu = 29.142857142857142
pain	arthritis	removed since nu = 122.42857142857143
pain	surgery	removed since nu = 173.14285714285714
pain	rheumatoid_arthritis	removed since nu = 35.44444444444444
pain	osteoarthritis	removed since nu = 220.0
pain	spasm	removed since nu = 48.92
pain	movement	removed since nu = 49.0
pain	activity	removed since nu = 23.8
pain	sciatica	removed since nu = 77.25
pain	chemical	removed since nu = 47.0
pain	treatment	removed since nu = 50.666666666666664
pain	medical_condition	removed since nu = 21.666666666666668
pain	wound	removed since nu = 26.666666666666668
pain	tendonitis	removed since nu = 53.0
pain	migraine_headache	removed since nu = 20.5
pain	sin	removed since nu = 21.2
pain	ulcer	removed since nu = 24.25
pain	scoliosis	removed since nu = 23.0
pain	tension_headache	removed since nu = 21.0
sin	ignorance	removed since nu = 26.333333333333332
hair_loss	illness	removed since nu = 35.6
absence	illness	removed since nu = 75.5
illness	sin	removed since nu = 34.0
illness	blockage	removed since nu = 29.0
illness	toxin	removed since nu = 32.4
illness	alcohol	removed since nu = 32.25
illness	virus	removed since nu = 100.75
illness	outbreak	removed since nu = 21.0
illness	infection	removed since nu = 114.0
illness	pathogen	removed since nu = 23.5
illness	exposure	removed since nu = 26.0
illness	deficiency	removed since nu = 38.0
failure	contamination	removed since nu = 20.0
redness	inflammation	removed since nu = 21.666666666666668
discomfort	inflammation	removed since nu = 26.0
inflammation	allergy	removed since nu = 203.91666666666666
inflammation	ulcerative_colitis	removed since nu = 47.22222222222222
inflammation	periodontal_disease	removed since nu = 34.666666666666664
inflammation	bacteria	removed since nu = 89.66666666666667
inflammation	bronchitis	removed since nu = 21.5
inflammation	crohn_'s_disease	removed since nu = 22.5
inflammation	autoimmune_disorder	removed since nu = 26.5
heart_attack	blood_clot	removed since nu = 55.1875
heart_attack	shock	removed since nu = 24.0
sudden_death	arrhythmia	removed since nu = 23.5
heart_failure	hypertension	removed since nu = 35.333333333333336
oxidative_stress	free_radical	removed since nu = 78.5
hair_loss	hormone	removed since nu = 22.0
hair_loss	medical_condition	removed since nu = 37.5
fear	sin	removed since nu = 73.0
fatigue	anemia	removed since nu = 74.0
anemia	iron_deficiency	removed since nu = 68.5
anemia	malaria	removed since nu = 32.0
anemia	blood_loss	removed since nu = 39.666666666666664
fever	infection	removed since nu = 72.0
diarrhea	infection	removed since nu = 165.2
ulcer	infection	removed since nu = 27.75
liver_disease	infection	removed since nu = 44.0
redness	infection	removed since nu = 24.5
peptic_ulcer	infection	removed since nu = 41.0
infection	bacteria	removed since nu = 57.96694214876033
infection	virus	removed since nu = 127.625
infection	organism	removed since nu = 46.142857142857146
infection	yeast	removed since nu = 74.0
infection	fungi	removed since nu = 354.6666666666667
infection	bacterium	removed since nu = 102.5
fracture	fall	removed since nu = 31.5
dehydration	diarrhea	removed since nu = 47.083333333333336
diarrhea	bacteria	removed since nu = 34.22222222222222
pneumonia	bacteria	removed since nu = 20.142857142857142
tooth_decay	bacteria	removed since nu = 24.0
ulcer	bacteria	removed since nu = 52.333333333333336
bad_breath	bacteria	removed since nu = 20.823529411764707
gingivitis	bacteria	removed since nu = 20.681818181818183
infectious_disease	bacteria	removed since nu = 33.0
skin_infection	bacteria	removed since nu = 26.6
tetanus	bacteria	removed since nu = 39.5
fever	flu	removed since nu = 38.5
fever	malaria	removed since nu = 43.5
destruction	fire	removed since nu = 40.5
wrinkle	aging	removed since nu = 50.75
wrinkle	dry_skin	removed since nu = 22.5
pimple	acne	removed since nu = 23.5
acne	hormone	removed since nu = 21.333333333333332
adverse_reaction	drug	removed since nu = 30.75
dizziness	dehydration	removed since nu = 43.5
malaria	parasite	removed since nu = 113.66666666666667
serious_injury	crash	removed since nu = 55.5
heat	friction	removed since nu = 159.75
allergy	food	removed since nu = 22.714285714285715
side_effect	therapy	removed since nu = 20.333333333333332
side_effect	medication	removed since nu = 63.75
side_effect	drug	removed since nu = 217.57142857142858
amblyopia	strabismus	removed since nu = 21.25
respiratory_failure	pneumonia	removed since nu = 22.0
pneumonia	bacterium	removed since nu = 38.25
bronchitis	smoking	removed since nu = 34.666666666666664
bronchitis	virus	removed since nu = 71.0
bleeding	drug	removed since nu = 30.0
aging	free_radical	removed since nu = 77.0
mesothelioma	asbestos	removed since nu = 29.444444444444443
lung_cancer	smoking	removed since nu = 43.0
emphysema	smoking	removed since nu = 33.7
constipation	irritable_bowel_syndrome	removed since nu = 44.333333333333336
ulcer	bacterium	removed since nu = 44.666666666666664
fracture	osteoporosis	removed since nu = 36.0
prosperity	freedom	removed since nu = 44.0
event	god	removed since nu = 34.0
aid	virus	removed since nu = 279.84615384615387
aid	hiv	removed since nu = 677.3333333333334
aid	hiv_infection	removed since nu = 28.666666666666668
vaginal_dryness	menopause	removed since nu = 23.25
influenza	virus	removed since nu = 23.625
gastroenteritis	virus	removed since nu = 33.333333333333336
mutation	virus	removed since nu = 56.166666666666664
phenotype	mutation	removed since nu = 28.0
cervical_cancer	sexually_transmitted_disease	removed since nu = 25.4
global_warming	pollution	removed since nu = 45.285714285714285
global_warming	deforestation	removed since nu = 37.5
tsunami	earthquake	removed since nu = 65.88888888888889
landslide	earthquake	removed since nu = 113.5
cervical_cancer	hpv	removed since nu = 47.0
cervical_cancer	human_papillomavirus	removed since nu = 52.22222222222222
genital_wart	human_papillomavirus	removed since nu = 28.571428571428573
genital_wart	hpv	removed since nu = 73.0
chemical_change	addiction	removed by SMT
addiction	family_problem	removed by SMT
addiction	impairment	removed by SMT
addiction	physiological_change	removed by SMT
addiction	challenge	removed by SMT
addiction	anger	removed by SMT
addiction	frustration	removed by SMT
addiction	chaos	removed by SMT
addiction	injury	removed by SMT
addiction	criminal_activity	removed by SMT
addiction	dysfunction	removed by SMT
addiction	termination	removed by SMT
addiction	behaviour	removed by SMT
addiction	chemical	removed by SMT
addiction	emotional_problem	removed by SMT
addiction	poor_health	removed by SMT
addiction	serious_consequence	removed by SMT
addiction	serious_problem	removed by SMT
addiction	crisis	removed by SMT
addiction	change_in_the_brain	removed by SMT
addiction	ailment	removed by SMT
addiction	health_condition	removed by SMT
addiction	poverty	removed by SMT
addiction	serious_illness	removed by SMT
addiction	chemical_change_in_the_brain	removed by SMT
depression	change	removed by SMT
depression	negative_thought	removed by SMT
depression	stroke	removed by SMT
depression	arthritis	removed by SMT
depression	chronic_fatigue_syndrome	removed by SMT
depression	emotional_problem	removed by SMT
depression	starvation	removed by SMT
depression	inflammation	removed by SMT
depression	low_self_esteem	removed by SMT
depression	grief	removed by SMT
depression	ocd	removed by SMT
depression	divorce	removed by SMT
depression	economic_problem	removed by SMT
depression	coronary_heart_disease	removed by SMT
depression	injury	removed by SMT
depression	poor_health	removed by SMT
depression	poor_performance	removed by SMT
depression	harm	removed by SMT
depression	mental_breakdown	removed by SMT
depression	flooding	removed by SMT
depression	memory_issue	removed by SMT
depression	flood	removed by SMT
depression	immobility	removed by SMT
depression	deficiency	removed by SMT
depression	diabetes_mellitus	removed by SMT
depression	crisis	removed by SMT
depression	loss_of_sleep	removed by SMT
depression	bone_loss	removed by SMT
depression	attempt	removed by SMT
depression	physical_activity	removed by SMT
depression	hospitalisation	removed by SMT
depression	happiness	removed by SMT
depression	unhappiness	removed by SMT
depression	social_unrest	removed by SMT
depression	chronic_condition	removed by SMT
depression	serious_health_issue	removed by SMT
depression	severe_symptom	removed by SMT
depression	folate_deficiency	removed by SMT
depression	helplessness	removed by SMT
depression	men	removed by SMT
depression	tinnitus	removed by SMT
depression	toxin	removed by SMT
depression	health_behavior	removed by SMT
depression	bankruptcy	removed by SMT
depression	personality_change	removed by SMT
depression	medical_problem	removed by SMT
depression	change_in_the_body	removed by SMT
depression	self-destructive_behavior	removed by SMT
depression	psychological_distress	removed by SMT
depression	foreclosure	removed by SMT
depression	concentration	removed by SMT
depression	absence	removed by SMT
depression	self-doubt	removed by SMT
depression	negative_feeling	removed by SMT
depression	chemical_change	removed by SMT
depression	lack_of_sale	removed by SMT
depression	eating	removed by SMT
depression	somatic_symptom	removed by SMT
depression	fall	removed by SMT
depression	respiratory_arrest	removed by SMT
depression	delay	removed by SMT
depression	craving	removed by SMT
depression	appetite_loss	removed by SMT
depression	low_productivity	removed by SMT
depression	physical_condition	removed by SMT
depression	shame	removed by SMT
depression	chemical_change_in_the_brain	removed by SMT
depression	serious_health_problem	removed by SMT
depression	reckless_behavior	removed by SMT
depression	chemical	removed by SMT
depression	panic	removed by SMT
depression	health_complication	removed by SMT
depression	alcohol_consumption	removed by SMT
depression	psychological_effect	removed by SMT
depression	habit	removed by SMT
depression	adhd	removed by SMT
depression	malady	removed by SMT
depression	chronic_disease	removed by SMT
depression	effect	removed by SMT
depression	negative_emotion	removed by SMT
depression	hostility	removed by SMT
depression	chest_pain	removed by SMT
depression	behavior_problem	removed by SMT
depression	abnormal_behavior	removed by SMT
depression	frustration	removed by SMT
depression	early_death	removed by SMT
depression	inflammatory_bowel_disease	removed by SMT
depression	incidence	removed by SMT
depression	weight	removed by SMT
depression	rainfall	removed by SMT
depression	abdominal_pain	removed by SMT
depression	nutritional_deficiency	removed by SMT
depression	anxiety_attack	removed by SMT
depression	treatment	removed by SMT
