Source	Target	Weight_Source_Target	Comment
depression	morbidity	32	TBD
depression	difficulty	14	TBD
depression	mortality	51	TBD
depression	lack_of_motivation	13	TBD
depression	impaired_judgment	36	TBD
depression	sleeping_problem	4	TBD
depression	cognitive_problem	5	TBD
depression	change_in_mood	8	TBD
depression	suicidal_ideation	6	TBD
depression	psychotic_symptom	4	TBD
depression	behavioral_problem	33	TBD
depression	problem_at_school	9	TBD
depression	thought_of_suicide	20	TBD
depression	declining_health	4	TBD
depression	subjective_distress	4	TBD
depression	early_morning_awakening	4	TBD
depression	sense_of_hopelessness	5	TBD
depression	biological_change	11	TBD
depression	poor_physical_health	3	TBD
depression	low_mood	6	TBD
depression	forgetfulness	12	TBD
depression	great_suffering	7	TBD
depression	same_symptom	5	TBD
depression	binge_eating_disorder	27	TBD
depression	poor_health_behavior	6	TBD
depression	adverse_outcome	4	TBD
depression	similar_symptom	9	TBD
depression	physiological_change	6	TBD
depression	high-risk_behavior	6	TBD
depression	cognitive_deficit	4	TBD
depression	self_harm	3	TBD
depression	low_energy	10	TBD
depression	loss_of_libido	4	TBD
depression	elevated_cortisol_level	5	TBD
depression	cognitive_symptom	3	TBD
depression	poor_concentration	6	TBD
depression	school_failure	3	TBD
depression	cognitive_change	2	TBD
depression	sexual_disorder	3	TBD
depression	diminished_capacity	5	TBD
depression	light_rain	3	TBD
depression	widespread_unemployment	15	TBD
depression	untimely_death	4	TBD
depression	severe_economic_hardship	5	TBD
depression	widespread_suffering	6	TBD
depression	institutionalization	4	TBD
depression	pseudodementia	5	TBD
depression	gusty_wind	38	TBD
depression	change_in_eating_habit	11	TBD
depression	intense_craving	3	TBD
depression	significant_morbidity	2	TBD
depression	serious_difficulty_in_school	32	TBD
depression	lost_work_day	3	TBD
depression	emotional_suffering	65	TBD
depression	recovery	69	TBD
depression	chronic_medical_condition	11	TBD
depression	body_ache	3	TBD
depression	sleep_alteration	3	TBD
depression	poor_glycemic_control	9	TBD
depression	presenteeism	4	TBD
depression	concentration_difficulty	5	TBD
depression	burden_of_disease	5	TBD
depression	lower_socioeconomic_status	3	TBD
depression	withdrawal_from_relationship	3	TBD
depression	personal_stigma	3	TBD
depression	premature_death	22	TBD
depression	diminished_quality_of_life	4	TBD
depression	disease_burden	20	TBD
depression	cognitive_distortion	18	TBD
depression	destructive_behavior	3	TBD
depression	dementia-like_symptom	27	TBD
depression	different_symptom	4	TBD
depression	unintentional_weight_loss	5	TBD
depression	secondary_insomnia	9	TBD
depression	self-destruction	5	TBD
depression	decreased_productivity	11	TBD
depression	economic_hardship	4	TBD
depression	hypercortisolemia	7	TBD
depression	increased_suicidality	9	TBD
depression	survival	2	TBD
depression	substantial_morbidity	7	TBD
depression	unexplained_weight_loss	2	TBD
depression	self-loathing	7	TBD
depression	suicidal_thinking	6	TBD
depression	disability_in_the_world	20	TBD
depression	over_eating	8	TBD
depression	disturbed_sleep	4	TBD
depression	sleep_difficulty	2	TBD
depression	change_in_the_immune_system	3	TBD
depression	poorer_outcome	5	TBD
depression	biochemical_disturbance	4	TBD
depression	person_to_commit_suicide	4	TBD
depression	cognitive_difficulty	3	TBD
depression	farther_harm	8	TBD
depression	concentration_problem	3	TBD
depression	painful_symptom	2	TBD
depression	abnormal_fatigue	3	TBD
depression	tension-type_headache	4	TBD
depression	additional_problem	2	TBD
depression	poor_academic_performance	6	TBD
depression	male_menopause	8	TBD
depression	elevated_level_of_stress_hormone	4	TBD
depression	recurrent_thought	3	TBD
depression	change_in_thinking	3	TBD
depression	cost	22	TBD
depression	negative_consequence	3	TBD
depression	functional_decline	4	TBD
depression	excess_mortality	3	TBD
depression	body_dissatisfaction	5	TBD
depression	bad_mood	51	TBD
depression	poorer_health-related_quality_of_life	3	TBD
depression	feeling_of_despondency	4	TBD
depression	short-term_disability	3	TBD
depression	family_disruption	6	TBD
depression	increased_cardiac_morbidity	4	TBD
depression	suicidal_feeling	5	TBD
depression	productivity_loss	2	TBD
depression	short_term_memory_loss	2	TBD
depression	emotional_response	7	TBD
depression	binging	5	TBD
depression	poor_quality_of_life	6	TBD
depression	sexual_impotence	4	TBD
depression	liver_stagnation	3	TBD
depression	problem_at_work	3	TBD
depression	hard_time	6	TBD
depression	psychomotor	3	TBD
depression	listlessness	9	TBD
depression	quality_of_life	6	TBD
depression	higher_rate	4	TBD
depression	behavioral_change	3	TBD
depression	chd_event	3	TBD
depression	chronic_headache	3	TBD
depression	sexual_difficulty	12	TBD
depression	energy_loss	2	TBD
depression	behavioural_problem	2	TBD
depression	loss_of_sexual_desire	3	TBD
depression	sleep_issue	2	TBD
depression	adhd-like_symptom	3	TBD
depression	dalys	3	TBD
depression	variety_of_symptom	3	TBD
depression	change_in_sleep_pattern	4	TBD
depression	erectile_problem	4	TBD
depression	decreased_quality_of_life	2	TBD
depression	severe_disability	2	TBD
depression	polyphagia	1	TBD
protest	violence	48	TBD
protest	death	14	TBD
protest	arrest	34	TBD
protest	bloodshed	3	TBD
protest	killing	12	TBD
violence	death	432	TBD
violence	injury	187	TBD
violence	destruction	29	TBD
violence	pain	31	TBD
violence	displacement	22	TBD
violence	suffering	30	TBD
violence	more_violence	129	TBD
violence	problem	36	TBD
violence	serious_injury	28	TBD
violence	damage	23	TBD
violence	loss	21	TBD
violence	murder	14	TBD
violence	harm	43	TBD
violence	physical_injury	21	TBD
violence	casualty	13	TBD
violence	loss_of_life	30	TBD
violence	tragedy	36	TBD
violence	death_toll	5	TBD
violence	bodily_injury	40	TBD
violence	human_suffering	5	TBD
violence	extensive_damage	3	TBD
violence	immediate_death	3	TBD
violence	significant_damage	2	TBD
violence	great_suffering	3	TBD
violence	negative_consequence	2	TBD
violence	death_rate	4	TBD
violence	fatal_injury	70	TBD
violence	civilian_death	14	TBD
violence	new_problem	2	TBD
death	grief	89	TBD
death	sadness	36	TBD
death	life	107	TBD
death	sorrow	21	TBD
death	financial_loss	51	TBD
death	suffering	44	TBD
death	rebirth	26	TBD
death	resurrection	29	TBD
death	vacancy	218	TBD
death	public_outcry	9	TBD
death	by-election	28	TBD
death	new_life	21	TBD
death	great_sorrow	9	TBD
death	outpouring_of_grief	16	TBD
death	general_regret	10	TBD
death	widespread_sorrow	7	TBD
death	outcry	9	TBD
death	succession_crisis	5	TBD
death	void	8	TBD
death	widespread_outrage	3	TBD
death	expense	31	TBD
death	deep_regret	6	TBD
death	loss_of_coverage	3	TBD
death	loss_of_income	29	TBD
death	deep_grief	4	TBD
death	economic_loss	7	TBD
death	forgiveness_of_sin	15	TBD
death	attrition	8	TBD
death	nothingness	3	TBD
death	profound_grief	4	TBD
death	eternal_life	8	TBD
death	salvation	12	TBD
death	great_sadness	3	TBD
death	loss_of_earnings	7	TBD
death	termination_of_employment	7	TBD
death	widespread_grief	4	TBD
death	deity	2	TBD
death	reincarnation	4	TBD
death	succession	4	TBD
death	national_outcry	2	TBD
death	controversy	58	TBD
death	productivity_loss	2	TBD
death	cancellation_of_further_betty_bomber_operation	2	TBD
death	angry_reaction	2	TBD
death	obituary	2	TBD
death	international_attention	3	TBD
death	uproar	2	TBD
death	short_time	3	TBD
death	profound_regret	4	TBD
death	financial_burden	2	TBD
death	glorification	2	TBD
death	director_elected_to_fill_a_vacancy	23	TBD
death	ascension	3	TBD
death	consternation	5	TBD
death	excess_mortality	5	TBD
death	universal_mourning	4	TBD
death	parting	4	TBD
death	vacancy_in_the_board_of_director	14	TBD
death	emotional_response	3	TBD
death	adverse_effect	61	TBD
death	loss_or_damage	5	TBD
death	final_expense	2	TBD
death	profound_sensation	2	TBD
death	much_regret	4	TBD
death	saving	16	TBD
death	greater_life	4	TBD
death	significant_loss	5	TBD
death	permanent_disability	11	TBD
death	renewal	3	TBD
death	powerful_emotion	4	TBD
death	triumph	4	TBD
death	mourning	4	TBD
death	health_worker_attrition	3	TBD
death	widespread_regret	4	TBD
death	universal_regret	4	TBD
death	great_disaster	4	TBD
death	dangerous_swing_ceremony_'s_discontinuation	2	TBD
death	vacancy_on_the_board	4	TBD
death	funeral	3	TBD
death	universal_sorrow	4	TBD
death	great_grief	227	TBD
death	redemption	3	TBD
death	crisis_of_faith	3	TBD
death	global_outpouring_of_grief	4	TBD
death	torrent_of_tribute	2	TBD
death	uncleanness	6	TBD
death	recover_damage	2	TBD
death	general_sorrow	4	TBD
death	wrongful_death_claim	5	TBD
death	burial	6	TBD
death	magical_brownout	3	TBD
death	atonement	2	TBD
death	great_pain	2	TBD
death	vacancy_on_the_board_of_director	6	TBD
death	physical_suffering	2	TBD
death	claire_to_side_with_locke	2	TBD
death	hurley	2	TBD
death	periodic_outbreak	3	TBD
death	ripple	2	TBD
death	excruciating_pain	2	TBD
death	real_hardship	3	TBD
death	sorrow_among_a_large_circle_of_friend	2	TBD
death	heartache	2	TBD
death	human_suffering	3	TBD
death	much_sadness	2	TBD
death	nationwide_outrage	2	TBD
death	health_care_cost	4	TBD
chaos	death	18	TBD
chaos	rebirth	2	TBD
chaos	bloodshed	4	TBD
arrest	conviction	177	TBD
arrest	prosecution	22	TBD
arrest	disappearance	6	TBD
delay	prejudice	57	TBD
delay	problem	138	TBD
delay	harm	27	TBD
delay	loss	104	TBD
delay	death	82	TBD
delay	increased_cost	36	TBD
delay	additional_cost	31	TBD
delay	cost_overrun	9	TBD
delay	damage	144	TBD
delay	inconvenience	262	TBD
delay	cost	22	TBD
delay	financial_loss	10	TBD
delay	loss_of_data	1445	TBD
delay	irreversible_damage	4	TBD
delay	permanent_damage	9	TBD
delay	hardship	11	TBD
delay	serious_injury_and/or_death	32	TBD
delay	complication	16	TBD
delay	further_damage	4	TBD
delay	loss_of_revenue	18	TBD
delay	additional_expense	4	TBD
delay	increased_morbidity	2	TBD
delay	additional_problem	5	TBD
delay	loss_of_life	6	TBD
delay	irreparable_damage	13	TBD
delay	expense	12	TBD
delay	economic_loss	2	TBD
delay	adverse_outcome	2	TBD
delay	increased_mortality	3	TBD
delay	loss_of_sight	5	TBD
delay	indirect_cost	4	TBD
delay	extensive_damage	2	TBD
injury	death	2150	TBD
injury	pain	1012	TBD
injury	disability	474	TBD
injury	inflammation	205	TBD
injury	condition	223	TBD
injury	permanent_disability	322	TBD
injury	damage	444	TBD
injury	symptom	141	TBD
injury	problem	151	TBD
injury	paralysis	141	TBD
injury	chronic_pain	92	TBD
injury	suffering	54	TBD
injury	arthritis	118	TBD
injury	complication	66	TBD
injury	back_pain	96	TBD
injury	loss	165	TBD
injury	hospitalization	59	TBD
injury	medical_expense	102	TBD
injury	lost_wage	55	TBD
injury	scarring	46	TBD
injury	permanent_damage	92	TBD
injury	brain_damage	57	TBD
injury	mortality	74	TBD
injury	weakness	31	TBD
injury	discomfort	43	TBD
injury	loss_of_income	34	TBD
injury	amputation	51	TBD
injury	blindness	59	TBD
injury	knee_pain	97	TBD
injury	permanent_partial_disability	17	TBD
injury	fracture	64	TBD
injury	loss_of_earnings	34	TBD
injury	muscle_spasm	57	TBD
injury	stiffness	82	TBD
injury	incapacity	32	TBD
injury	deafness	21	TBD
injury	shoulder_pain	12	TBD
injury	absence_from_work	19	TBD
injury	severe_pain	65	TBD
injury	acute_pain	59	TBD
injury	osteoarthritis	49	TBD
injury	scar	51	TBD
injury	cerebral_palsy	34	TBD
injury	headache	31	TBD
injury	disfigurement	32	TBD
injury	quadriplegia	30	TBD
injury	permanent_impairment	13	TBD
injury	deformity	71	TBD
injury	hearing_loss	25	TBD
injury	total_disability	12	TBD
injury	loss_of_consciousness	19	TBD
injury	expense	55	TBD
injury	shock	21	TBD
injury	tooth_loss	37	TBD
injury	physical_pain	36	TBD
injury	temporary_disability	13	TBD
injury	anxiety	27	TBD
injury	neck_pain	35	TBD
injury	fatality	31	TBD
injury	disorder	38	TBD
injury	syndrome	49	TBD
injury	abscess	13	TBD
injury	financial_loss	32	TBD
injury	tendonitis	30	TBD
injury	chronic_back_pain	10	TBD
injury	joint_pain	34	TBD
injury	lawsuit	32	TBD
injury	liability	14	TBD
injury	physical_disability	31	TBD
injury	paraplegia	30	TBD
injury	health_problem	43	TBD
injury	medical_bill	38	TBD
injury	medical_cost	29	TBD
injury	distress	23	TBD
injury	lower_back_pain	23	TBD
injury	financial_hardship	15	TBD
injury	emergency_room_visit	9	TBD
injury	harm	28	TBD
injury	cataract	20	TBD
injury	physical_problem	15	TBD
injury	unconsciousness	17	TBD
injury	permanent_injury	22	TBD
injury	wrongful_death	19	TBD
injury	emotional_distress	11	TBD
injury	dizziness	14	TBD
injury	coma	13	TBD
injury	missed_game	10	TBD
injury	numbness	13	TBD
injury	morbidity	39	TBD
injury	heel_pain	10	TBD
injury	serious_injury	31	TBD
injury	cost	130	TBD
injury	premature_death	10	TBD
injury	limitation	17	TBD
injury	lost_time	24	TBD
injury	permanent_total_disability	10	TBD
injury	loss_of_wage	14	TBD
injury	physical_limitation	13	TBD
injury	permanent_disfigurement	12	TBD
injury	incapacity_for_work	15	TBD
injury	hardship	19	TBD
injury	lost_work_time	12	TBD
injury	impotence	14	TBD
injury	lost_workday	52	TBD
injury	memory_loss	10	TBD
injury	hip_pain	6	TBD
injury	loss_of_a_limb	8	TBD
injury	long-term_disability	8	TBD
injury	victim_'s_death	5	TBD
injury	lost_work_day	22	TBD
injury	wage_loss	13	TBD
injury	restricted_duty	49	TBD
injury	scar_formation	4	TBD
injury	myositis	3	TBD
injury	physical_impairment	7	TBD
injury	knee_problem	16	TBD
injury	long_layoff	5	TBD
injury	withdrawal	87	TBD
injury	early_retirement	9	TBD
injury	adaptation	10	TBD
injury	increase	11	TBD
injury	hospital_admission	25	TBD
injury	fatigue	26	TBD
injury	challenge	12	TBD
injury	serious_physical_harm	3	TBD
injury	nerve_pain	10	TBD
injury	death_of_the_deceased	7	TBD
injury	loss_of_life	6	TBD
injury	further_injury	3	TBD
injury	inconvenience	23	TBD
injury	time_away_from_work	8	TBD
injury	long_term_disability	11	TBD
injury	pain_in_the_neck	15	TBD
injury	joint_infection	13	TBD
injury	epilepsy	19	TBD
injury	pneumothorax	6	TBD
injury	permanent_medical_impairment	6	TBD
injury	seizure	26	TBD
injury	decedent_'s_death	13	TBD
injury	atrophy	4	TBD
injury	employee_'s_death	22	TBD
injury	elbow_pain	7	TBD
injury	traumatic_condition	5	TBD
injury	foot_pain	21	TBD
injury	break	5	TBD
injury	lost_time_from_work	5	TBD
injury	nociceptive_pain	3	TBD
injury	death_of_a_family_member	4	TBD
injury	lost_income	12	TBD
injury	lameness	6	TBD
injury	edema	346	TBD
injury	lost_productivity	11	TBD
injury	hospitalisation	17	TBD
injury	nosebleed	7	TBD
injury	permanent_paralysis	18	TBD
injury	financial_damage	3	TBD
injury	mobility_issue	6	TBD
injury	permanent_scarring	5	TBD
injury	instant_death	4	TBD
injury	ongoing_pain	3	TBD
injury	swollen_joint	3	TBD
injury	mental_suffering	3	TBD
injury	economic_loss	7	TBD
injury	limited_mobility	19	TBD
injury	pathological_condition	5	TBD
injury	legal_blindness	4	TBD
injury	excruciating_pain	4	TBD
injury	demise	3	TBD
injury	later_health_problem	4	TBD
injury	significant_disability	4	TBD
injury	premature_end	4	TBD
injury	serious_problem	14	TBD
injury	paralysis_of_the_leg	2	TBD
injury	sprain	17	TBD
injury	ongoing_problem	4	TBD
injury	major_surgery	18	TBD
injury	permanent_brain_damage	4	TBD
injury	balance_problem	8	TBD
injury	severe_back_pain	6	TBD
injury	loss_of_muscle_function	19	TBD
injury	joint_damage	11	TBD
injury	employee_'_s_death	7	TBD
injury	mental_anguish	11	TBD
injury	brain_to_swell	3	TBD
injury	special_need	2	TBD
injury	sensorineural_hearing_loss	29	TBD
injury	visit_to_emergency_room	7	TBD
injury	sign	6	TBD
injury	long_period	12	TBD
injury	death_of_a_person	3	TBD
injury	lot_of_pain	5	TBD
injury	human_suffering	11	TBD
injury	ptosis	4	TBD
injury	little_pain	2	TBD
injury	death_among_child	8	TBD
injury	animal_'s_death	10	TBD
injury	loss_of_sensation	4	TBD
injury	venous_leak	65	TBD
injury	liability_claim	2	TBD
injury	further_damage	12	TBD
injury	permanent_loss_of_vision	2	TBD
injury	tinnitus	24	TBD
injury	quality_of_life	2	TBD
injury	gradual_deterioration_of_specific_tissue	3	TBD
injury	death_of_an_employee	9	TBD
injury	partial_paralysis	9	TBD
injury	injury_to_the_brain	23	TBD
injury	serious_consequence	14	TBD
injury	loss_of_movement	16	TBD
injury	greater_pain	13	TBD
injury	untimely_death	3	TBD
injury	death_of_the_animal	2	TBD
injury	grief	12	TBD
injury	retardation	5	TBD
injury	amnesia	4	TBD
injury	death_of_the_victim	5	TBD
injury	energy_disruption	4	TBD
injury	high_cost	5	TBD
injury	further_complication	4	TBD
injury	erectile_dysfunction	22	TBD
injury	memory_problem	2	TBD
injury	missing_work	4	TBD
injury	lifelong_disability	7	TBD
injury	acquired_hydrocephalus	4	TBD
injury	irreversible_damage	2	TBD
injury	stuttering	5	TBD
injury	loss_of_work	7	TBD
injury	loss_of_flexibility	22	TBD
injury	extreme_pain	6	TBD
injury	appearance_of_scar	2	TBD
injury	adhesive_capsulitis	4	TBD
injury	floater	5	TBD
injury	fatal_infection	4	TBD
injury	legal_liability	3	TBD
injury	intense_pain	7	TBD
injury	limited_range_of_motion	4	TBD
injury	breathing_difficulty	15	TBD
injury	brain_death	5	TBD
injury	compensable_disability	10	TBD
injury	initial_pain	7	TBD
injury	unexpected_expense	8	TBD
injury	long-term_absence	2	TBD
injury	cellular_debris	4	TBD
injury	movement_dysfunction	5	TBD
injury	partial_or_total_disability	10	TBD
injury	day_away_from_work	8	TBD
injury	upper_back_pain	3	TBD
injury	future_medical_bill	5	TBD
injury	permanent_vision_loss	5	TBD
injury	burden	10	TBD
injury	life-long_disability	7	TBD
injury	permanent_impotence	23	TBD
injury	lasting_damage	11	TBD
injury	transfer_to_another_job	8	TBD
injury	loss_of_strength	3	TBD
injury	displacing_of_renter	39	TBD
injury	ankle_pain	2	TBD
injury	cognitive_impairment	6	TBD
injury	disabling_injury	9	TBD
injury	blood_blister	5	TBD
injury	lost_earnings	3	TBD
injury	emergency_department_visit	7	TBD
injury	financial_burden	6	TBD
injury	nightmare	13	TBD
injury	time_loss	6	TBD
injury	functional_limitation	8	TBD
injury	compensation_payout	4	TBD
injury	cognitive_deficit	2	TBD
injury	mobility_problem	4	TBD
injury	loss_of_sight	7	TBD
injury	neuropathic_pain	8	TBD
injury	temporary_pain	9	TBD
injury	growth_plate_injury	10	TBD
injury	significant_morbidity	3	TBD
injury	immediate_death	3	TBD
injury	health_care_cost	7	TBD
injury	debilitating_pain	5	TBD
injury	longest_absence_from_work	4	TBD
injury	functional_impairment	5	TBD
injury	personal_bankruptcy	5	TBD
injury	childhood_death	8	TBD
injury	long_lasting_problem	5	TBD
injury	total_paralysis	2	TBD
injury	death_in_child	7	TBD
injury	greater_morbidity	2	TBD
injury	sudden_back_pain	11	TBD
injury	peripheral_nerve_damage	5	TBD
injury	damage_to_the_body	2	TBD
injury	very_high_rate_of_lymphoma	4	TBD
injury	tommy_john_surgery	5	TBD
injury	dismemberment	4	TBD
injury	significant_scarring	6	TBD
injury	work_absence	6	TBD
injury	disability_or_death	7	TBD
injury	disc_to_bulge	4	TBD
injury	undue_hardship	2	TBD
injury	long-term_pain	2	TBD
injury	anterior_knee_pain	2	TBD
injury	emotional_damage	4	TBD
injury	aphasia	2	TBD
injury	total_loss_of_sensation	5	TBD
injury	functional_disability	2	TBD
injury	economic_damage	2	TBD
injury	loss_of_limb	2	TBD
injury	abnormal_behavior	4	TBD
injury	significant_pain	2	TBD
injury	severe_disability	2	TBD
injury	recover_damage	2	TBD
change	problem	353	TBD
change	confusion	125	TBD
change	increase	570	TBD
change	improvement	139	TBD
change	stress	178	TBD
change	anxiety	63	TBD
change	pain	123	TBD
change	delay	51	TBD
change	discomfort	32	TBD
change	symptom	59	TBD
change	disease	75	TBD
change	depression	44	TBD
change	tension	32	TBD
change	effect	28	TBD
change	chaos	31	TBD
change	uncertainty	60	TBD
change	death	29	TBD
change	inconvenience	41	TBD
change	cancer	149	TBD
change	disruption	29	TBD
change	increased_risk	49	TBD
change	fear	81	TBD
change	conflict	87	TBD
change	suffering	13	TBD
change	unintended_consequence	21	TBD
change	controversy	28	TBD
change	issue	29	TBD
change	error	32	TBD
change	cost	95	TBD
change	loss	45	TBD
change	turmoil	21	TBD
change	difficulty	43	TBD
change	decrease	11	TBD
change	distress	14	TBD
change	increased_cost	32	TBD
change	saving	14	TBD
change	impact	23	TBD
change	increased_productivity	10	TBD
change	instability	11	TBD
change	illness	16	TBD
change	reduction	16	TBD
change	condition	98	TBD
change	additional_cost	72	TBD
change	cost_saving	22	TBD
change	regression	10	TBD
change	concern	37	TBD
change	hair_loss	38	TBD
change	trouble	15	TBD
change	challenge	14	TBD
change	benefit	14	TBD
change	destruction	12	TBD
change	greater_efficiency	21	TBD
change	improved_performance	7	TBD
change	discontent	7	TBD
change	potential_problem	9	TBD
change	new_opportunity	18	TBD
change	heart_failure	12	TBD
change	more_problem	4	TBD
change	acne	21	TBD
change	osteoporosis	56	TBD
change	crisis	18	TBD
change	improved_outcome	11	TBD
change	fibromyalgia	19	TBD
change	speciation	10	TBD
change	harm_than_good	4	TBD
change	improved_health	6	TBD
change	failure	36	TBD
change	new_specie	8	TBD
change	wrinkle	13	TBD
change	consequence	14	TBD
change	damage	11	TBD
change	consternation	6	TBD
change	break	3	TBD
change	better_health	42	TBD
change	emotional_reaction	10	TBD
change	learning_curve	10	TBD
change	cell_death	13	TBD
change	dramatic_event	15	TBD
change	serious_problem	25	TBD
change	loss_of_fertility	52	TBD
change	compatibility_problem	30	TBD
change	loss_of_job	16	TBD
change	greater_cost_or_liability	32	TBD
change	demise	5	TBD
change	adverse_health_effect	8	TBD
change	schedule_delay	2	TBD
change	grief	38	TBD
change	significant_saving	14	TBD
change	increased_susceptibility	5	TBD
change	decrease_in_benefit	11	TBD
change	current_financial_crisis	7	TBD
change	severe_problem	14	TBD
change	difficulty_breathing	11	TBD
change	rebirth	2	TBD
change	phenotype	3	TBD
change	positive_outcome	11	TBD
change	new_problem	2	TBD
change	penalty	12	TBD
change	insulin_resistance	55	TBD
change	extra_cost	4	TBD
change	significant_improvement	9	TBD
change	significant_increase	4	TBD
change	clinical_sign	8	TBD
change	business_disruption	10	TBD
change	additional_expense	4	TBD
change	greater_sustainability	11	TBD
change	side_effect	15	TBD
change	legal_problem	2	TBD
change	significant_decrease	3	TBD
cancellation	fee	49	TBD
cancellation	expense	13	TBD
riot	damage	92	TBD
riot	death	47	TBD
riot	loss	30	TBD
riot	property_damage	11	TBD
riot	economic_loss	2	TBD
riot	failure_or_delay	54	TBD
riot	loss_or_damage	6	TBD
riot	death_toll	6	TBD
damage	death	202	TBD
damage	pain	113	TBD
damage	problem	88	TBD
damage	symptom	75	TBD
damage	wrinkle	30	TBD
damage	paralysis	25	TBD
damage	blindness	19	TBD
damage	skin_cancer	103	TBD
damage	premature_aging	20	TBD
damage	infertility	60	TBD
damage	dementia	20	TBD
damage	soreness	23	TBD
damage	scarring	18	TBD
damage	serious_problem	18	TBD
damage	costly_repair	10	TBD
damage	cell_death	23	TBD
damage	weakness	38	TBD
damage	neuropathic_pain	12	TBD
damage	apoptosis	9	TBD
damage	epilepsy	23	TBD
damage	cost	56	TBD
damage	melanoma	13	TBD
damage	scar	77	TBD
damage	hair_loss	24	TBD
damage	chronic_pelvic_pain	47	TBD
damage	memory_loss	11	TBD
damage	cirrhosis	19	TBD
damage	brain_lesion	4	TBD
damage	numbness	12	TBD
damage	amnesia	4	TBD
damage	financial_loss	15	TBD
damage	economic_loss	22	TBD
damage	vision_loss	13	TBD
damage	premature_skin_aging	5	TBD
damage	instability	11	TBD
damage	discoloration	4	TBD
damage	loss_of_central_vision	3	TBD
damage	damage_to_your_vehicle	6	TBD
damage	ulcer	47	TBD
damage	loss_of_value	11	TBD
damage	demise	4	TBD
damage	line	5	TBD
damage	expensive_repair	4	TBD
damage	tumor_formation	2	TBD
damage	conduction_aphasia	4	TBD
damage	female_infertility	3	TBD
damage	economic_damage	17	TBD
damage	blackout	12	TBD
damage	liability_claim	23	TBD
damage	serious_concern	5	TBD
damage	intense_pain	5	TBD
damage	great_deal_of_pain	6	TBD
damage	potential_cost	2	TBD
damage	health_problem	11	TBD
damage	lost_income	2	TBD
damage	depreciation_in_value	2	TBD
damage	skin_to_become_dry	2	TBD
damage	chronic_dry-mouth_condition	6	TBD
damage	reduction_in_radial_growth	2	TBD
damage	organ_failure	13	TBD
damage	structural_failure	17	TBD
damage	water_leakage	4	TBD
damage	chronic_health_problem	10	TBD
damage	rialto	2	TBD
damage	complete_disability	4	TBD
damage	serious_suffering	3	TBD
damage	diminished_cash_flow	2	TBD
damage	severe_suffering	3	TBD
damage	uneven_skin_tone	3	TBD
damage	clot_to_form	2	TBD
damage	displacing_of_renter	39	TBD
damage	paraplegia	2	TBD
damage	pipeline_accident	6	TBD
damage	headache	11	TBD
damage	liver_failure	11	TBD
damage	removal_of_security_database_file	3	TBD
damage	long-term_problem	2	TBD
damage	blood_platelet_to_stick_on_the_inside_of_the_vessel_wall	2	TBD
damage	cell_to_die	4	TBD
damage	stunting	4	TBD
damage	yield_loss	2	TBD
damage	repair_cost	4	TBD
damage	visual_hallucination	2	TBD
damage	total_disability	2	TBD
damage	cellular_death	3	TBD
damage	columbia_disaster	2	TBD
damage	severe_mental_retardation	2	TBD
damage	hemiplegia	6	TBD
damage	catastrophic_failure	14	TBD
damage	transient_enhanced_diffusion	2	TBD
damage	horner_syndrome	2	TBD
